group	k	n_BGC	mean_overlap	median_overlap	q25	q75
all	5	2502	0.21678657074340527	0.20000000000000001	0	0.40000000000000002
any_saccharide	5	195	0.22564102564102564	0.20000000000000001	0	0.40000000000000002
non_any_saccharide	5	2307	0.21603814477676636	0.20000000000000001	0	0.40000000000000002
pure_saccharide	5	130	0.17076923076923078	0.20000000000000001	0	0.20000000000000001
non_pure_saccharide	5	2372	0.21930860033726815	0.20000000000000001	0	0.40000000000000002
all	10	2502	0.27134292565947243	0.20000000000000001	0.10000000000000001	0.40000000000000002
any_saccharide	10	195	0.27794871794871795	0.20000000000000001	0.10000000000000001	0.40000000000000002
non_any_saccharide	10	2307	0.27078456870394452	0.20000000000000001	0.10000000000000001	0.40000000000000002
pure_saccharide	10	130	0.2146153846153846	0.20000000000000001	0.10000000000000001	0.29999999999999999
non_pure_saccharide	10	2372	0.27445193929173695	0.29999999999999999	0.10000000000000001	0.40000000000000002
all	20	2502	0.34142685851318944	0.34999999999999998	0.20000000000000001	0.45000000000000001
any_saccharide	20	195	0.33769230769230768	0.29999999999999999	0.20000000000000001	0.45000000000000001
non_any_saccharide	20	2307	0.34174252275682709	0.34999999999999998	0.20000000000000001	0.45000000000000001
pure_saccharide	20	130	0.27500000000000002	0.25	0.20000000000000001	0.34999999999999998
non_pure_saccharide	20	2372	0.3450674536256324	0.34999999999999998	0.20000000000000001	0.5
all	50	2502	0.45821742605915267	0.46000000000000002	0.34000000000000002	0.57999999999999996
any_saccharide	50	195	0.472923076923077	0.47999999999999998	0.37	0.57999999999999996
non_any_saccharide	50	2307	0.45697442566103152	0.46000000000000002	0.34000000000000002	0.57999999999999996
pure_saccharide	50	130	0.43384615384615383	0.46000000000000002	0.32500000000000001	0.54000000000000004
non_pure_saccharide	50	2372	0.45955311973018548	0.46000000000000002	0.34000000000000002	0.57999999999999996
