representation	definition	k	positive_BGCs	total_BGCs	precision_at_k	prevalence	self_excluded_null_expectation	fold_enrichment	enrichment_percentage_points	null_mean	empirical_p	z_score	permutations
A	any_saccharide	5	195	2502	0.76923076923076927	0.077937649880095924	0.07756897241103558	9.8698224852071004	69.129311935067335	0.0775104615384615	9.9990000999900002e-05	65.326530977193769	10000
A	any_saccharide	10	195	2502	0.76615384615384607	0.077937649880095924	0.07756897241103558	9.8303431952662716	68.821619627375014	0.077524256410256398	9.9990000999900002e-05	88.189015699232485	10000
A	any_saccharide	20	195	2502	0.74948717948717947	0.077937649880095924	0.07756897241103558	9.6164970414201179	67.154952960708357	0.077530871794871795	9.9990000999900002e-05	115.38078488942844	10000
A	any_saccharide	50	195	2502	0.72246153846153849	0.077937649880095924	0.07756897241103558	9.2697372781065095	64.452388858144261	0.077531343589743507	9.9990000999900002e-05	150.67302033895464	10000
A	pure_saccharide	5	130	2502	0.92923076923076919	0.051958433253397281	0.051579368252698918	17.884118343195265	87.727233597737182	0.051537230769230703	9.9990000999900002e-05	81.193535927035612	10000
A	pure_saccharide	10	130	2502	0.93000000000000005	0.051958433253397281	0.051579368252698918	17.898923076923079	87.804156674660277	0.0515962307692307	9.9990000999900002e-05	112.31521956692728	10000
A	pure_saccharide	20	130	2502	0.92576923076923068	0.051958433253397281	0.051579368252698918	17.817497041420118	87.381079751583329	0.051571923076923001	9.9990000999900002e-05	152.31616998782147	10000
A	pure_saccharide	50	130	2502	0.92507692307692324	0.051958433253397281	0.051579368252698918	17.804172781065091	87.311848982352586	0.051553046153846101	9.9990000999900002e-05	216.25642519651944	10000
B	any_saccharide	5	195	2502	0.70666666666666678	0.077937649880095924	0.07756897241103558	9.0670769230769235	62.872901678657087	0.077561641025641004	9.9990000999900002e-05	59.159997332661931	10000
B	any_saccharide	10	195	2502	0.69025641025641027	0.077937649880095924	0.07756897241103558	8.8565207100591721	61.231876037631437	0.077524205128205098	9.9990000999900002e-05	78.836607045936802	10000
B	any_saccharide	20	195	2502	0.67615384615384611	0.077937649880095924	0.07756897241103558	8.6755739644970404	59.821619627375021	0.077574512820512795	9.9990000999900002e-05	102.03318988356146	10000
B	any_saccharide	50	195	2502	0.6308717948717949	0.077937649880095924	0.07756897241103558	8.0945704142011845	55.293414499169899	0.077571723076923005	9.9990000999900002e-05	130.84494882674301	10000
B	pure_saccharide	5	130	2502	0.82307692307692304	0.051958433253397281	0.051579368252698918	15.841065088757396	77.111848982352569	0.051597846153846098	9.9990000999900002e-05	71.607088544802565	10000
B	pure_saccharide	10	130	2502	0.81153846153846154	0.051958433253397281	0.051579368252698918	15.618994082840237	75.958002828506423	0.051573307692307599	9.9990000999900002e-05	97.351387325699093	10000
B	pure_saccharide	20	130	2502	0.79269230769230759	0.051958433253397281	0.051579368252698918	15.256278106508875	74.073387443891022	0.051613923076923002	9.9990000999900002e-05	128.66674068616859	10000
B	pure_saccharide	50	130	2502	0.74476923076923074	0.051958433253397281	0.051579368252698918	14.333943195266272	69.281079751583334	0.051615615384615302	9.9990000999900002e-05	173.02655345773485	10000
N	any_saccharide	5	195	2502	0.76205128205128214	0.077937649880095924	0.07756897241103558	9.7777041420118351	68.41136321711862	0.077537333333333347	9.9990000999900015e-05	63.846537433624199	10000
N	any_saccharide	10	195	2502	0.75282051282051288	0.077937649880095924	0.07756897241103558	9.659266272189349	67.4882862940417	0.077547282051282043	9.9990000999900015e-05	86.441594624989818	10000
N	any_saccharide	20	195	2502	0.74025641025641009	0.077937649880095924	0.07756897241103558	9.4980591715976317	66.231876037631423	0.077574128205128212	9.9990000999900015e-05	112.87800451623248	10000
N	any_saccharide	50	195	2502	0.71435897435897444	0.077937649880095924	0.07756897241103558	9.1657751479289953	63.642132447887853	0.077548964102564108	9.9990000999900015e-05	147.68219662619663	10000
N	pure_saccharide	5	130	2502	0.92923076923076919	0.051958433253397281	0.051579368252698918	17.884118343195265	87.727233597737182	0.051598000000000005	9.9990000999900015e-05	80.595731102141869	10000
N	pure_saccharide	10	130	2502	0.92307692307692313	0.051958433253397281	0.051579368252698918	17.765680473372782	87.111848982352583	0.051631769230769238	9.9990000999900015e-05	111.00819029263663	10000
N	pure_saccharide	20	130	2502	0.9242307692307693	0.051958433253397281	0.051579368252698918	17.7878875739645	87.227233597737197	0.051570538461538459	9.9990000999900015e-05	151.65266425342392	10000
N	pure_saccharide	50	130	2502	0.9221538461538461	0.051958433253397281	0.051579368252698918	17.747914792899408	87.019541290044884	0.05157346153846154	9.9990000999900015e-05	215.23642125857361	10000
