representation	metric	unit	n	mean	median	sd	minimum	maximum	q25	q75	p05	p95
A	mean_pairwise_cosine	base_BGC	2502	0.93236293610070886	0.96268034433616434	0.076767624638311327	0.39154329284666928	0.99922792403402205	0.91324979804003192	0.98202558907661996	0.76761617099823765	0.99290128789086884
A	median_pairwise_cosine	base_BGC	2502	0.94168536086971333	0.96953214567477919	0.072073390692043715	0.29712157814900014	0.99951053280458901	0.92745805573250517	0.98540817904605438	0.78707771896292278	0.99428050422492498
A	min_pairwise_cosine	base_BGC	2502	0.8608631991681488	0.92040225757569616	0.1553160677934842	-0.085033720607002608	0.99835254619097269	0.81898821996645843	0.96321626996011023	0.51531062924310655	0.98628348155971002
A	std_pairwise_cosine	base_BGC	2502	0.04174083806930539	0.023333149351276557	0.049405946804525668	0.000336990984387185	0.39975216971803923	0.010214550837117769	0.053578531312857294	0.0034859339392348484	0.14669737574848141
A	mean_centroid_cosine_distance	base_BGC	2502	0.028258828699822297	0.015121932730096243	0.03346826369929979	0.00030888303521068303	0.29288085036983136	0.0072262311405926543	0.035610166269924755	0.0028513935068286956	0.099459466683744335
A	max_centroid_cosine_distance	base_BGC	2502	0.061500792605414044	0.031799523438033106	0.077538370564274914	0.00063636884984685782	0.55791014022814789	0.013685793995524831	0.076941147125976939	0.005108775422168383	0.22799094516287233
A	all_pairwise_cosines	augmentation_pair_descriptive	25020	0.93236293610070897	0.96903434082588935	0.098261596079244062	-0.085033720607002608	0.99990029506046496	0.92093559879086484	0.98749018360418206	0.73756625756703875	0.99625419950711958
B	mean_pairwise_cosine	base_BGC	2502	0.8674911086821101	0.92487091470102845	0.14025979267168798	0.093360887453790745	0.99858791696097371	0.80794647739565462	0.96942277942403077	0.57226744032130794	0.9902544154748002
B	median_pairwise_cosine	base_BGC	2502	0.88364931896482035	0.93798021984216073	0.13782726700633113	0.012522734585938149	0.99892276913884115	0.84449095003085017	0.97589201165693318	0.59199262833219091	0.99217014578178475
B	min_pairwise_cosine	base_BGC	2502	0.73474726180084049	0.83766760363427628	0.26599656838491204	-0.32539010028007204	0.99735769154699283	0.60351362233934691	0.93731530344143477	0.16351215060431371	0.98057034754205818
B	std_pairwise_cosine	base_BGC	2502	0.081136498453648023	0.047609543874334845	0.085541716183711508	0.00072067326835594328	0.55914871296375823	0.018284232274391764	0.11756909802785818	0.0051263861713844701	0.26010701402288983
B	mean_centroid_cosine_distance	base_BGC	2502	0.057475358873399801	0.030748614508037099	0.064944964933509403	0.00056499617794245614	0.49054459189261895	0.012329647490095696	0.080862593630763147	0.0039064712351222879	0.19108948767676842
B	max_centroid_cosine_distance	base_BGC	2502	0.12281840574134074	0.066631851903941386	0.13927708369159436	0.0010748244470349944	0.99972299130922859	0.024415225437914023	0.17497489935913987	0.0073428162872260731	0.42216121188396194
B	all_pairwise_cosines	augmentation_pair_descriptive	25020	0.86749110868210999	0.94075804195047041	0.17937130572581819	-0.32539010028007204	0.9999729874810297	0.83559937497018011	0.97898473394569074	0.46715431311415234	0.99479335162028582
N	mean_pairwise_cosine	base_BGC	2502	0.93179613955050844	0.96159830320565798	0.076963656905533945	0.39218569464770814	0.99915757279061934	0.91244677749954783	0.98125843452602501	0.76981623758579354	0.99245149502871632
N	median_pairwise_cosine	base_BGC	2502	0.94143312054119777	0.9693609464766253	0.072083177254284425	0.30263068308811469	0.99930184757308482	0.92762162861200559	0.98487423089779957	0.78903333442643431	0.99397572893501973
N	min_pairwise_cosine	base_BGC	2502	0.85903458704673408	0.91800615505442607	0.15616764892031818	-0.089912731144114855	0.99850075638231806	0.81715282953061341	0.96166817279070038	0.51126629803330181	0.98537303375778817
N	std_pairwise_cosine	base_BGC	2502	0.042434905673366413	0.023908680200302866	0.049775009905442036	0.00033234034007322249	0.40003038036217853	0.010677387943144958	0.053951249296915776	0.0037520418613467515	0.14867258875352798
N	mean_centroid_cosine_distance	base_BGC	2502	0.028504352066348111	0.01555162563993797	0.03358026427955367	0.00033703448412623069	0.29242144175735707	0.0075264510253089277	0.036162099938649189	0.0030273103864420629	0.097950277538946459
N	max_centroid_cosine_distance	base_BGC	2502	0.062428118345655099	0.032562121092812479	0.078424999633578407	0.00061456215978528128	0.55816544643335997	0.014341343948606838	0.077739201645255274	0.0052099504752582682	0.23261179245635169
N	all_pairwise_cosines	augmentation_pair_descriptive	25020	0.93179613955050822	0.96875206157923821	0.098848277097917284	-0.089912731144114855	0.99984574168323004	0.9203737474303858	0.98724536840709587	0.73498119024933539	0.99626195773902437
