comparison	k	group	n	mean	median	sd	minimum	maximum	q25	q75	p05	p95
A vs B	5	all	2502	0.21678657074340527	0.20000000000000001	0.21604470714487933	0	1	0	0.40000000000000002	0	0.59999999999999998
A vs B	5	any_saccharide	195	0.22564102564102564	0.20000000000000001	0.22512075650470775	0	1	0	0.40000000000000002	0	0.59999999999999998
A vs B	5	pure_saccharide	130	0.17076923076923078	0.20000000000000001	0.20248309484270066	0	1	0	0.20000000000000001	0	0.59999999999999998
A vs B	5	non_saccharide	2307	0.21603814477676636	0.20000000000000001	0.21529401490714828	0	1	0	0.40000000000000002	0	0.59999999999999998
A vs B	10	all	2502	0.27134292565947243	0.20000000000000001	0.19444020240420773	0	0.90000000000000002	0.10000000000000001	0.40000000000000002	0	0.59999999999999998
A vs B	10	any_saccharide	195	0.27794871794871795	0.20000000000000001	0.19967989185760643	0	0.90000000000000002	0.10000000000000001	0.40000000000000002	0	0.62999999999999823
A vs B	10	pure_saccharide	130	0.2146153846153846	0.20000000000000001	0.15306255419897102	0	0.69999999999999996	0.10000000000000001	0.29999999999999999	0	0.5
A vs B	10	non_saccharide	2307	0.27078456870394452	0.20000000000000001	0.194024881866874	0	0.90000000000000002	0.10000000000000001	0.40000000000000002	0	0.59999999999999998
A vs B	20	all	2502	0.34142685851318944	0.34999999999999998	0.19036004745475446	0	0.90000000000000002	0.20000000000000001	0.45000000000000001	0.050000000000000003	0.65000000000000002
A vs B	20	any_saccharide	195	0.33769230769230768	0.29999999999999999	0.19178302735043748	0	0.90000000000000002	0.20000000000000001	0.45000000000000001	0.050000000000000003	0.69999999999999996
A vs B	20	pure_saccharide	130	0.27500000000000002	0.25	0.12988516096444463	0	0.59999999999999998	0.20000000000000001	0.34999999999999998	0.050000000000000003	0.5
A vs B	20	non_saccharide	2307	0.34174252275682709	0.34999999999999998	0.19027778463235179	0	0.90000000000000002	0.20000000000000001	0.45000000000000001	0.050000000000000003	0.65000000000000002
A vs B	50	all	2502	0.45821742605915267	0.46000000000000002	0.18231314997615458	0	0.90000000000000002	0.34000000000000002	0.57999999999999996	0.12	0.76000000000000001
A vs B	50	any_saccharide	195	0.472923076923077	0.47999999999999998	0.17260039430486562	0	0.81999999999999995	0.37	0.57999999999999996	0.16	0.76000000000000001
A vs B	50	pure_saccharide	130	0.43384615384615383	0.46000000000000002	0.13853824152535424	0	0.76000000000000001	0.32500000000000001	0.54000000000000004	0.187	0.57999999999999996
A vs B	50	non_saccharide	2307	0.45697442566103152	0.46000000000000002	0.18309197671909216	0	0.90000000000000002	0.34000000000000002	0.57999999999999996	0.12	0.76000000000000001
A vs N	5	all	2502	0.79440447641886491	0.80000000000000004	0.18500533581017156	0	1	0.80000000000000004	1	0.40000000000000002	1
A vs N	5	any_saccharide	195	0.75487179487179479	0.80000000000000004	0.18167138956918599	0.20000000000000001	1	0.59999999999999998	0.80000000000000004	0.40000000000000002	1
A vs N	5	pure_saccharide	130	0.78307692307692289	0.80000000000000004	0.17615112501250832	0.20000000000000001	1	0.59999999999999998	1	0.40000000000000002	1
A vs N	5	non_saccharide	2307	0.79774599046380579	0.80000000000000004	0.18493603023130845	0	1	0.80000000000000004	1	0.40000000000000002	1
A vs N	10	all	2502	0.82941646682653891	0.90000000000000002	0.13844245263484059	0	1	0.80000000000000004	0.90000000000000002	0.59999999999999998	1
A vs N	10	any_saccharide	195	0.77641025641025641	0.80000000000000004	0.13065037904173241	0.40000000000000002	1	0.69999999999999996	0.90000000000000002	0.5	1
A vs N	10	pure_saccharide	130	0.78692307692307695	0.80000000000000004	0.11968204746988242	0.40000000000000002	1	0.69999999999999996	0.90000000000000002	0.59999999999999998	1
A vs N	10	non_saccharide	2307	0.83389683571738193	0.90000000000000002	0.13817869234341693	0	1	0.80000000000000004	0.90000000000000002	0.59999999999999998	1
A vs N	20	all	2502	0.85947242206235019	0.90000000000000002	0.11014240282148018	0.20000000000000001	1	0.80000000000000004	0.94999999999999996	0.65000000000000002	1
A vs N	20	any_saccharide	195	0.82820512820512826	0.84999999999999998	0.095514661120845071	0.5	1	0.80000000000000004	0.90000000000000002	0.65000000000000002	0.94999999999999996
A vs N	20	pure_saccharide	130	0.84115384615384625	0.84999999999999998	0.089239983177360177	0.59999999999999998	1	0.80000000000000004	0.90000000000000002	0.65000000000000002	0.94999999999999996
A vs N	20	non_saccharide	2307	0.86211530125704383	0.90000000000000002	0.11090551624784127	0.20000000000000001	1	0.80000000000000004	0.94999999999999996	0.65000000000000002	1
A vs N	50	all	2502	0.89812150279776171	0.92000000000000004	0.080612338296476307	0.23999999999999999	1	0.88	0.95999999999999996	0.73999999999999999	0.97999999999999998
A vs N	50	any_saccharide	195	0.89097435897435906	0.90000000000000002	0.069256540567037936	0.59999999999999998	1	0.85999999999999999	0.93999999999999995	0.76000000000000001	0.95999999999999996
A vs N	50	pure_saccharide	130	0.91169230769230769	0.92000000000000004	0.055839449553306122	0.59999999999999998	1	0.90000000000000002	0.93999999999999995	0.81999999999999995	0.97099999999999986
A vs N	50	non_saccharide	2307	0.89872561768530568	0.92000000000000004	0.081484101844614992	0.23999999999999999	1	0.88	0.95999999999999996	0.73999999999999999	0.97999999999999998
B vs N	5	all	2502	0.17865707434052758	0.20000000000000001	0.200220078603429	0	0.80000000000000004	0	0.20000000000000001	0	0.59999999999999998
B vs N	5	any_saccharide	195	0.17948717948717949	0.20000000000000001	0.19154753276671044	0	0.80000000000000004	0	0.20000000000000001	0	0.59999999999999998
B vs N	5	pure_saccharide	130	0.15846153846153846	0.20000000000000001	0.18417408994879686	0	0.80000000000000004	0	0.20000000000000001	0	0.59999999999999998
B vs N	5	non_saccharide	2307	0.17858690940615518	0.20000000000000001	0.20097571332894018	0	0.80000000000000004	0	0.20000000000000001	0	0.59999999999999998
B vs N	10	all	2502	0.22933653077537972	0.20000000000000001	0.18149794173844708	0	0.80000000000000004	0.10000000000000001	0.29999999999999999	0	0.59999999999999998
B vs N	10	any_saccharide	195	0.22410256410256413	0.20000000000000001	0.16863181923145174	0	0.80000000000000004	0.10000000000000001	0.29999999999999999	0	0.52999999999999825
B vs N	10	pure_saccharide	130	0.19461538461538461	0.20000000000000001	0.13600703268498068	0	0.59999999999999998	0.10000000000000001	0.29999999999999999	0	0.40000000000000002
B vs N	10	non_saccharide	2307	0.22977893368010405	0.20000000000000001	0.18257124125568436	0	0.80000000000000004	0.10000000000000001	0.29999999999999999	0	0.59999999999999998
B vs N	20	all	2502	0.29698241406874498	0.29999999999999999	0.18088338611033164	0	0.84999999999999998	0.14999999999999999	0.40000000000000002	0.050000000000000003	0.65000000000000002
B vs N	20	any_saccharide	195	0.28666666666666668	0.25	0.16645691268333895	0	0.84999999999999998	0.14999999999999999	0.375	0.050000000000000003	0.59999999999999998
