PC	variance	ratio	cumulative
1	16.445881380592915	0.3909129556549868	0.3909129556549868
2	11.55595404068245	0.27468106116751656	0.6655940168225034
3	5.88026929044703	0.13977198273413716	0.8053659995566406
4	3.7859429696523907	0.08999056492979991	0.8953565644864405
5	2.3355869887403946	0.05551610107289499	0.9508726655593355
6	0.8835483926076931	0.021001642029722205	0.9718743075890577
7	0.34397947754829267	0.008176274116371708	0.9800505817054294
8	0.20986292424500944	0.004988369677518466	0.9850389513829478
9	0.1606083923307093	0.0038176063596738513	0.9888565577426217
10	0.10423835702432256	0.0024777099684716694	0.9913342677110933
11	0.06839912380202497	0.0016258236959688544	0.9929600914070622
12	0.048797421919657205	0.001159897970166979	0.9941199893772292
13	0.04075984991598454	0.0009688476423959673	0.9950888370196252
14	0.02958244505835836	0.0007031645653792991	0.9957920015850046
15	0.025750139167351888	0.0006120719697221762	0.9964040735547267
16	0.01732702438840428	0.00041185742251370665	0.9968159309772404
17	0.016051755157648253	0.0003815447106125384	0.997197475687853
18	0.011490872803767873	0.00027313410250405555	0.9974706097903571
19	0.010465835280668693	0.00024876931240622494	0.9977193791027633
20	0.009002893043468936	0.00021399567755737276	0.9979333747803207
21	0.008217105714971763	0.00019531778246677884	0.9981286925627875
22	0.007959774323068918	0.00018920110360575655	0.9983178936663932
23	0.006904482033322653	0.00016411716808914522	0.9984820108344824
24	0.006062544815610339	0.00014410460940437678	0.9986261154438868
25	0.005723903996220586	0.00013605523336003233	0.9987621706772468
26	0.004826905768932997	0.00011473389337638998	0.9988769045706232
27	0.004278145612469003	0.00010169005280958546	0.9989785946234327
28	0.003774972294920603	8.972979575691791e-05	0.9990683244191897
29	0.0030976786276036322	7.363075775402207e-05	0.9991419551769437
30	0.0029298622259020775	6.964181948562662e-05	0.9992115969964294
31	0.0027509126307759743	6.538824903080396e-05	0.9992769852454602
32	0.002595164665375443	6.168617335100374e-05	0.9993386714188112
33	0.0022499242835402316	5.347992797251536e-05	0.9993921513467837
34	0.002039887313866667	4.848742129489818e-05	0.9994406387680786
35	0.0018421399642796219	4.3787034668540024e-05	0.9994844258027472
36	0.0018007959588113567	4.280430184916754e-05	0.9995272301045964
37	0.001641549283592369	3.901906303785368e-05	0.9995662491676343
38	0.001354810328836481	3.220337650144717e-05	0.9995984525441357
39	0.001290931800013751	3.068500579652084e-05	0.9996291375499322
40	0.0011724353602662815	2.7868386095557975e-05	0.9996570059360278
41	0.0009464822762296965	2.2497558842460238e-05	0.9996795034948702
42	0.0009036325093934192	2.1479034592196412e-05	0.9997009825294624
43	0.0008245650720947165	1.959962874612391e-05	0.9997205821582085
44	0.0007808638640543374	1.856086603068092e-05	0.9997391430242392
45	0.0007104332105897905	1.6886753571921014e-05	0.9997560297778111
46	0.0006620938775478002	1.5737744217145164e-05	0.9997717675220282
47	0.0006084530621146378	1.4462720445572443e-05	0.9997862302424738
48	0.0005679529783603532	1.3500047355679883e-05	0.9997997302898295
49	0.0005451432987148414	1.2957869099530444e-05	0.999812688158929
50	0.000503351633370512	1.1964495558555355e-05	0.9998246526544875
51	0.0004830623092969249	1.148222528928251e-05	0.9998361348797767
52	0.00043396909070300677	1.0315296333695394e-05	0.9998464501761104
53	0.0004079058223609202	9.695781390965898e-06	0.9998561459575014
54	0.0003591177968777953	8.536106770870127e-06	0.9998646820642723
55	0.0003302366801671005	7.84961253959608e-06	0.9998725316768119
56	0.00030955138700872274	7.3579302210872365e-06	0.999879889607033
57	0.0002912747773216929	6.923501481953778e-06	0.9998868131085149
58	0.00027709652592297764	6.586489312643615e-06	0.9998933995978275
59	0.00023952591545238673	5.693448797213885e-06	0.9998990930466247
60	0.0002353405928626768	5.593965115795401e-06	0.9999046870117405
61	0.0002287333676096075	5.436913639344678e-06	0.9999101239253798
62	0.00019344797505615872	4.598191969444256e-06	0.9999147221173492
63	0.00017347004249628267	4.123323369572623e-06	0.9999188454407187
64	0.00017053359524598177	4.05352502631723e-06	0.999922898965745
65	0.0001541690000140965	3.6645442145169725e-06	0.9999265635099596
66	0.00014233349014401508	3.3832182072373007e-06	0.9999299467281668
67	0.00013712095823011417	3.2593181127544666e-06	0.9999332060462796
68	0.00013507715803215997	3.210737683547837e-06	0.9999364167839631
69	0.00012812155762665137	3.0454054492973207e-06	0.9999394621894123
70	0.0001232565925576289	2.9297668994209938e-06	0.9999423919563117
71	0.00011507213784665622	2.7352252201123865e-06	0.9999451271815318
72	0.00010955162807248037	2.6040045975988413e-06	0.9999477311861295
73	0.0001013224190623504	2.4083991239603964e-06	0.9999501395852534
74	9.496757102489234e-05	2.257346567300678e-06	0.9999523969318207
75	9.346131156174697e-05	2.22154329685898e-06	0.9999546184751176
76	8.846356201774947e-05	2.1027485055884506e-06	0.9999567212236231
77	8.401781117836305e-05	1.9970745340626064e-06	0.9999587182981572
78	7.716361686053449e-05	1.8341526877103751e-06	0.9999605524508449
79	6.887090809541502e-05	1.6370378466910127e-06	0.9999621894886916
80	6.398533125391777e-05	1.5209093620575919e-06	0.9999637103980537
81	6.0875987194469063e-05	1.4470013209925682e-06	0.9999651573993746
82	5.841486207029707e-05	1.3885012215292378e-06	0.9999665459005962
83	5.4184654001129736e-05	1.287950627670208e-06	0.9999678338512239
84	5.351594241601081e-05	1.2720555828155096e-06	0.9999691059068068
85	5.2874806618060155e-05	1.2568160049568938e-06	0.9999703627228117
86	5.0677229535804314e-05	1.2045803519916452e-06	0.9999715673031637
87	4.633199208943161e-05	1.1012955493182697e-06	0.999972668598713
88	4.248241028160456e-05	1.0097923110479785e-06	0.9999736783910241
89	4.2009613537498134e-05	9.98554094719798e-07	0.9999746769451189
90	3.989792415743613e-05	9.483599629562426e-07	0.9999756253050819
91	3.92115004888442e-05	9.320439079567545e-07	0.9999765573489898
92	3.7221601114942383e-05	8.84744682837333e-07	0.9999774420936727
93	3.605771915368864e-05	8.570796081004981e-07	0.9999782991732807
94	3.40742167468233e-05	8.099324366918865e-07	0.9999791091057174
95	3.156667367354226e-05	7.503289985103847e-07	0.9999798594347159
96	3.0240968001011882e-05	7.188174296996684e-07	0.9999805782521456
97	2.847179460107351e-05	6.767647852210203e-07	0.9999812550169308
98	2.7985503854560197e-05	6.65205821087209e-07	0.9999819202227519
99	2.701582981987819e-05	6.421570021065037e-07	0.999982562379754
100	2.5670993108738677e-05	6.101906950744432e-07	0.9999831725704491
101	2.3915159957042197e-05	5.684551437176976e-07	0.9999837410255928
102	2.376969415843167e-05	5.649974716133214e-07	0.9999843060230644
103	2.2193609190666163e-05	5.275344728931887e-07	0.9999848335575373
104	2.1934227515562736e-05	5.213690595042124e-07	0.9999853549265968
105	2.1256755902862755e-05	5.052657918006391e-07	0.9999858601923886
106	1.9535520180885777e-05	4.643526094733623e-07	0.999986324544998
107	1.8458468311868443e-05	4.387514562260734e-07	0.9999867632964543
108	1.7892033871942093e-05	4.25287504007758e-07	0.9999871885839583
109	1.755694214727422e-05	4.1732248872678784e-07	0.999987605906447
110	1.6323696143508164e-05	3.8800865450743206e-07	0.9999879939151015
111	1.5758064361170884e-05	3.745637811845106e-07	0.9999883684788827
112	1.4953303516428717e-05	3.5543489212510143e-07	0.9999887239137748
113	1.483451488196434e-05	3.5261132705600844e-07	0.9999890765251018
114	1.450974097436912e-05	3.4489156274544465e-07	0.9999894214166646
115	1.4076832709450485e-05	3.346014818765338e-07	0.9999897560181464
116	1.3949659014592203e-05	3.315786067999033e-07	0.9999900875967532
117	1.230189008834697e-05	2.924117049909748e-07	0.9999903800084582
118	1.2147749428604177e-05	2.887478344149794e-07	0.9999906687562926
119	1.1950268832032255e-05	2.840537884162324e-07	0.999990952810081
120	1.172329480938553e-05	2.78658693802791e-07	0.9999912314687748
121	1.1130550781623614e-05	2.645693717119309e-07	0.9999914960381465
122	1.067655219113304e-05	2.537779810430612e-07	0.9999917498161276
123	1.0513455723702193e-05	2.499012339922454e-07	0.9999919997173616
124	9.499295914478905e-06	2.2579500341965935e-07	0.9999922255123651
125	9.341969828550705e-06	2.2205541635657878e-07	0.9999924475677815
126	9.242789074579868e-06	2.1969792387675448e-07	0.9999926672657053
127	8.921418688871345e-06	2.1205906011323802e-07	0.9999928793247654
128	8.800581305657033e-06	2.0918679698955628e-07	0.9999930885115624
129	8.25340960410409e-06	1.9618071345077804e-07	0.9999932846922759
130	7.92355546855674e-06	1.8834019386549164e-07	0.9999934730324698
131	7.454073933118984e-06	1.7718077890947803e-07	0.9999936502132487
132	7.2813787822173035e-06	1.7307587444714107e-07	0.9999938232891231
133	7.150309215811969e-06	1.6996039584102703e-07	0.999993993249519
134	6.7448586072067284e-06	1.6032297403832436e-07	0.999994153572493
135	6.428588150986508e-06	1.5280533384828305e-07	0.9999943063778268
136	6.378095895203168e-06	1.5160515025889845e-07	0.999994457982977
137	6.077372247531488e-06	1.444570523718853e-07	0.9999946024400294
138	5.960124639093343e-06	1.4167011696250553e-07	0.9999947441101463
139	5.885050879029124e-06	1.3988563945353672e-07	0.9999948839957857
140	5.500068006150109e-06	1.3073472870385344e-07	0.9999950147305144
141	5.465703750782657e-06	1.299179021486999e-07	0.9999951446484165
142	5.238915924668899e-06	1.245272333629384e-07	0.99999526917565
143	5.090610750393748e-06	1.2100207027358034e-07	0.9999953901777202
144	4.9837030584423444e-06	1.1846091113009457e-07	0.9999955086386313
145	4.901290108369334e-06	1.1650198359366564e-07	0.9999956251406149
146	4.883600876609015e-06	1.1608151662624288e-07	0.9999957412221315
147	4.670516022729733e-06	1.1101656278718885e-07	0.9999958522386944
148	4.603753170096323e-06	1.0942963269527646e-07	0.999995961668327
149	4.332350086422582e-06	1.0297847455072253e-07	0.9999960646468016
150	4.252173514157367e-06	1.0107270494718724e-07	0.9999961657195066
151	4.194453647354697e-06	9.970072352462452e-08	0.9999962654202301
152	4.012762779106622e-06	9.538199394858672e-08	0.9999963608022241
153	3.914434615231124e-06	9.304476724269198e-08	0.9999964538469913
154	3.8647731348078085e-06	9.186433089846605e-08	0.9999965457113222
155	3.731633639099364e-06	8.869965078328416e-08	0.999996634410973
156	3.617149521305329e-06	8.597840259799496e-08	0.9999967203893756
157	3.486687842339431e-06	8.287737326766954e-08	0.9999968032667489
158	3.404338933963017e-06	8.091996798038751e-08	0.9999968841867168
159	3.322171015678191e-06	7.896686476546085e-08	0.9999969631535816
160	3.1940616039266983e-06	7.592174801944718e-08	0.9999970390753296
161	3.0538349394701923e-06	7.258860833567083e-08	0.9999971116639379
162	2.975008668506465e-06	7.071493493060456e-08	0.9999971823788728
163	2.930578791197294e-06	6.965885199674539e-08	0.9999972520377248
164	2.7954237053630145e-06	6.644626199608853e-08	0.9999973184839869
165	2.712079550806088e-06	6.44652000486966e-08	0.9999973829491869
166	2.7023625051961495e-06	6.423422920975465e-08	0.9999974471834161
167	2.6734130000689843e-06	6.354610940929423e-08	0.9999975107295255
168	2.5706537217141474e-06	6.11035566331283e-08	0.9999975718330821
169	2.542533648674429e-06	6.04351521486984e-08	0.9999976322682342
170	2.472709721032886e-06	5.8775461354503247e-08	0.9999976910436956
171	2.411635650624464e-06	5.732375166350362e-08	0.9999977483674473
172	2.2825726839433576e-06	5.425596924410413e-08	0.9999978026234165
173	2.2097461970651592e-06	5.2524908647429725e-08	0.9999978551483252
174	2.1700067355589307e-06	5.158031528730315e-08	0.9999979067286404
175	2.121695985446569e-06	5.043198533895398e-08	0.9999979571606258
176	2.0696878476141776e-06	4.91957697535635e-08	0.9999980063563956
177	1.9842694613673644e-06	4.716540403084678e-08	0.9999980535217996
178	1.925873007728463e-06	4.577734037141344e-08	0.99999809929914
179	1.8397122028187058e-06	4.3729327611900786e-08	0.9999981430284676
180	1.83072654795517e-06	4.351574167996372e-08	0.9999981865442092
181	1.8051141151688962e-06	4.290694294365446e-08	0.9999982294511522
182	1.7884117715664445e-06	4.2509933969012074e-08	0.9999982719610863
183	1.7260022110529749e-06	4.102648013659913e-08	0.9999983129875664
184	1.6919374457222744e-06	4.021677235682445e-08	0.9999983532043387
185	1.6780490992440956e-06	3.988665112797064e-08	0.9999983930909898
186	1.637403909462312e-06	3.8920528917609536e-08	0.9999984320115187
187	1.6155234822400045e-06	3.840043867260999e-08	0.9999984704119574
188	1.5512398081654961e-06	3.687243780410792e-08	0.9999985072843952
189	1.5261524246282567e-06	3.627611930823422e-08	0.9999985435605145
190	1.4799397935278267e-06	3.5177660928655944e-08	0.9999985787381754
191	1.4396587458907461e-06	3.4220194252088996e-08	0.9999986129583697
192	1.3922319056524254e-06	3.309287453805915e-08	0.9999986460512442
193	1.3896732455277475e-06	3.303205606511098e-08	0.9999986790833003
194	1.321935876372623e-06	3.142196204996322e-08	0.9999987105052623
195	1.2747433556156692e-06	3.030021202957939e-08	0.9999987408054744
196	1.2440946002984097e-06	2.9571701635338396e-08	0.999998770377176
197	1.232068272117203e-06	2.928583994229833e-08	0.999998799663016
198	1.1898791923946027e-06	2.828301999795729e-08	0.999998827946036
199	1.1774397107375863e-06	2.7987337788604948e-08	0.9999988559333738
200	1.154246246566572e-06	2.743603710601165e-08	0.9999988833694109
201	1.1221600942317075e-06	2.667336027802362e-08	0.9999989100427712
202	1.09420259757606e-06	2.6008820178441583e-08	0.9999989360515914
203	1.0836597220796943e-06	2.5758219646550947e-08	0.9999989618098111
204	1.0728871258753075e-06	2.5502158732278277e-08	0.9999989873119698
205	1.0206507142572434e-06	2.426051715735335e-08	0.9999990115724869
206	1.0006115076057856e-06	2.378419209335608e-08	0.999999035356679
207	9.784253300606956e-07	2.3256834268127453e-08	0.9999990586135132
208	9.515622063424798e-07	2.2618307037643762e-08	0.9999990812318202
209	9.326279290001648e-07	2.2168245764077117e-08	0.999999103400066
210	9.113308506345618e-07	2.166202152117712e-08	0.9999991250620875
211	9.031883894202408e-07	2.1468478012870392e-08	0.9999991465305655
212	8.913627360258189e-07	2.1187386290634084e-08	0.9999991677179518
213	8.55265836539048e-07	2.0329375379464186e-08	0.9999991880473272
214	8.330046293318604e-07	1.9800234124920122e-08	0.9999992078475614
215	8.033174856812056e-07	1.90945809099379e-08	0.9999992269421423
216	7.799194331820678e-07	1.8538417233006483e-08	0.9999992454805595
217	7.718168803024009e-07	1.834582233211664e-08	0.9999992638263818
218	7.670020991877411e-07	1.8231376637610745e-08	0.9999992820577585
219	7.527275688704293e-07	1.7892075951451602e-08	0.9999992999498344
220	7.267662278116814e-07	1.7274983785262304e-08	0.9999993172248182
221	7.169546370769247e-07	1.704176564115439e-08	0.9999993342665838
222	6.944009718973562e-07	1.6505672760987923e-08	0.9999993507722565
223	6.848222729501812e-07	1.6277990374734783e-08	0.999999367050247
224	6.686485949960752e-07	1.5893547601098315e-08	0.9999993829437945
225	6.451045634079713e-07	1.5333914051326947e-08	0.9999993982777086
226	6.334242537994955e-07	1.505627710099586e-08	0.9999994133339857
227	6.113055659257407e-07	1.453052348209022e-08	0.9999994278645091
228	5.925358659305336e-07	1.408437415557603e-08	0.9999994419488832
229	5.849443876165808e-07	1.3903927321695786e-08	0.9999994558528106
230	5.729552666628657e-07	1.3618950031682467e-08	0.9999994694717607
231	5.717018722909028e-07	1.3589157277666645e-08	0.9999994830609179
232	5.634739392901523e-07	1.3393582134333185e-08	0.9999994964545
233	5.570989434723793e-07	1.3242050671850753e-08	0.9999995096965507
234	5.35145284120163e-07	1.2720219724258924e-08	0.9999995224167705
235	5.199725032398286e-07	1.235956793052556e-08	0.9999995347763384
236	5.131115192541135e-07	1.21964846960981e-08	0.9999995469728231
237	5.041475643761939e-07	1.198341456537099e-08	0.9999995589562377
238	4.828960106427742e-07	1.1478272427352458e-08	0.9999995704345102
239	4.762371000297552e-07	1.1319992407635827e-08	0.9999995817545025
240	4.720946974693406e-07	1.1221528920582143e-08	0.9999995929760315
241	4.6076710503331216e-07	1.0952275936376116e-08	0.9999996039283074
242	4.5303897886610425e-07	1.076858102992599e-08	0.9999996146968885
243	4.4777138796864104e-07	1.0643372202301914e-08	0.9999996253402607
244	4.327769654907567e-07	1.0286959926576379e-08	0.9999996356272206
245	4.258313850138321e-07	1.0121865862589139e-08	0.9999996457490865
246	4.2004605841724483e-07	9.984350635100626e-09	0.9999996557334372
247	4.130946888992317e-07	9.819118967593697e-09	0.9999996655525561
248	4.0136833975195753e-07	9.540387673227642e-09	0.9999996750929439
249	3.918039026850684e-07	9.313044286973756e-09	0.9999996844059882
250	3.8043956513521255e-07	9.042917884024172e-09	0.999999693448906
251	3.7359773900298686e-07	8.880290025198557e-09	0.9999997023291961
252	3.6514270869610886e-07	8.67931685684563e-09	0.9999997110085129
253	3.6118275954673696e-07	8.585190224748481e-09	0.9999997195937032
254	3.528288862653456e-07	8.386621524170988e-09	0.9999997279803247
255	3.432783081526856e-07	8.159607560502284e-09	0.9999997361399322
256	3.314975432131403e-07	7.879582821431213e-09	0.9999997440195151
257	3.30253479226702e-07	7.850011847476823e-09	0.9999997518695269
258	3.185808308933166e-07	7.572557003025036e-09	0.999999759442084
259	3.1119801781915586e-07	7.3970700702739495e-09	0.999999766839154
260	3.1038664236164687e-07	7.377783954139423e-09	0.999999774216938
261	2.9781603461495885e-07	7.0789849226423274e-09	0.9999997812959229
262	2.966539503923838e-07	7.051362579536842e-09	0.9999997883472855
263	2.9139123219958557e-07	6.926269574430182e-09	0.9999997952735551
264	2.8510288731312004e-07	6.776797774843511e-09	0.9999998020503529
265	2.8004407852355274e-07	6.656551626263308e-09	0.9999998087069045
266	2.72574677960189e-07	6.47900653861351e-09	0.9999998151859111
267	2.649573205267701e-07	6.2979445669461134e-09	0.9999998214838557
268	2.586800968579918e-07	6.148737114886704e-09	0.9999998276325928
269	2.543044482265106e-07	6.044729448781408e-09	0.9999998336773223
270	2.4693105667784227e-07	5.8694664624575014e-09	0.9999998395467887
271	2.4394158919766704e-07	5.798407846536265e-09	0.9999998453451966
272	2.406570351312986e-07	5.720335123744536e-09	0.9999998510655317
273	2.3265077626424468e-07	5.530029098483264e-09	0.9999998565955608
274	2.227848901892911e-07	5.295520372774795e-09	0.9999998618910811
275	2.1650244173855836e-07	5.1461887294416435e-09	0.9999998670372698
276	2.1344256029314892e-07	5.073456397735154e-09	0.9999998721107263
277	2.0625445938422652e-07	4.902597706320231e-09	0.9999998770133239
278	2.056966352818132e-07	4.889338418869252e-09	0.9999998819026623
279	2.009412501870324e-07	4.776304547369237e-09	0.9999998866789669
280	1.983112667320231e-07	4.7137907433395785e-09	0.9999998913927576
281	1.8996559943908464e-07	4.515417096291049e-09	0.9999998959081747
282	1.8829324866580657e-07	4.4756658924154396e-09	0.9999999003838406
283	1.8304991604090206e-07	4.351033675603856e-09	0.9999999047348742
