metric	statistic	value
all_pairwise_cosines	n	25020.0
all_pairwise_cosines	mean	0.932362936100709
all_pairwise_cosines	std	0.09826159607924406
all_pairwise_cosines	q0	-0.0850337206070026
all_pairwise_cosines	q1	0.5042672906584993
all_pairwise_cosines	q5	0.7375662575670388
all_pairwise_cosines	q25	0.9209355987908647
all_pairwise_cosines	q50	0.9690343408258895
all_pairwise_cosines	q75	0.987490183604182
all_pairwise_cosines	q95	0.9962541995071194
all_pairwise_cosines	q99	0.9986135480586646
all_pairwise_cosines	q100	0.9999002950604647
bgc_mean_cosine	n	2502.0
bgc_mean_cosine	mean	0.9323629361007089
bgc_mean_cosine	std	0.07676762463831133
bgc_mean_cosine	q0	0.3915432928466693
bgc_mean_cosine	q1	0.6473779061351935
bgc_mean_cosine	q5	0.7676161709982376
bgc_mean_cosine	q25	0.913249798040032
bgc_mean_cosine	q50	0.9626803443361645
bgc_mean_cosine	q75	0.98202558907662
bgc_mean_cosine	q95	0.9929012878908685
bgc_mean_cosine	q99	0.9968989332324346
bgc_mean_cosine	q100	0.999227924034022
bgc_min_cosine	n	2502.0
bgc_min_cosine	mean	0.8608631991681488
bgc_min_cosine	std	0.1553160677934842
bgc_min_cosine	q0	-0.0850337206070026
bgc_min_cosine	q1	0.26685673506731306
bgc_min_cosine	q5	0.5153106292431067
bgc_min_cosine	q25	0.8189882199664584
bgc_min_cosine	q50	0.9204022575756962
bgc_min_cosine	q75	0.9632162699601102
bgc_min_cosine	q95	0.98628348155971
bgc_min_cosine	q99	0.9940530873131956
bgc_min_cosine	q100	0.9983525461909728
