edge_id	source	target	interaction	edge_type	evidence	is_direct_alignment	cluster_representative	cluster_size	cluster_visibility_in_original_network	raw_m8_query	raw_m8_target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
A0A0B5J7K0__cluster_membership__A0A7S5UTB7	A0A0B5J7K0	A0A7S5UTB7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A0B5J7K0	2	absent												
A0A0B5JEK5__cluster_membership__A0A481Z6W6	A0A0B5JEK5	A0A481Z6W6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A0B5JEK5	3	absent												
A0A0B5JEK5__cluster_membership__A0A514DD61	A0A0B5JEK5	A0A514DD61	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A0B5JEK5	3	absent												
A0A1B0XUM4__cluster_membership__A0A516LLH5	A0A1B0XUM4	A0A516LLH5	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1B0XUM4	2	absent												
A0A1C8ZZ47__cluster_membership__A0A068QKI9	A0A1C8ZZ47	A0A068QKI9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1C8ZZ47	2	absent												
A0A1C9C546__cluster_membership__A0A2P1JUN7	A0A1C9C546	A0A2P1JUN7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1C9C546	3	absent												
A0A1C9C546__cluster_membership__A0A6N1NJX6	A0A1C9C546	A0A6N1NJX6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1C9C546	3	absent												
A0A1L3KMJ9__cluster_membership__A0A9E8MBD8	A0A1L3KMJ9	A0A9E8MBD8	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1L3KMJ9	2	absent												
A0A1S5VFY0__cluster_membership__A0A1V0SIF9	A0A1S5VFY0	A0A1V0SIF9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1S5VFY0	2	absent												
A0A1V0M8G7__cluster_membership__A0A8K1XFD1	A0A1V0M8G7	A0A8K1XFD1	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1V0M8G7	2	absent												
A0A1V0SF98__direct_alignment__A0A1V0SA33	A0A1V0SF98	A0A1V0SA33	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A1V0SF98	2	visible	A0A1V0SF98	A0A1V0SA33	0.250	68	11	7	84	134	5	49	9.260E-01	26
A0A1V0SJ19__cluster_membership__A0A8S5SX48	A0A1V0SJ19	A0A8S5SX48	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1V0SJ19	6	visible												
A0A1V0SJ19__direct_alignment__A0A1V0SHX5	A0A1V0SJ19	A0A1V0SHX5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A1V0SJ19	6	visible	A0A1V0SJ19	A0A1V0SHX5	0.625	8	3	0	81	88	23	30	1.976E+00	25
A0A1V0SJ19__cluster_membership__A0A873WGA9	A0A1V0SJ19	A0A873WGA9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1V0SJ19	6	visible												
A0A1V0SJ19__cluster_membership__A0A516LL69	A0A1V0SJ19	A0A516LL69	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1V0SJ19	6	visible												
A0A1V0SJ19__cluster_membership__A0A6J5SF38	A0A1V0SJ19	A0A6J5SF38	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1V0SJ19	6	visible												
