base_BGC	label	core_gene_count	noncore_position_count	A_mean_pairwise_cosine	A_median_pairwise_cosine	A_min_pairwise_cosine	A_std_pairwise_cosine	A_mean_centroid_cosine_distance	A_max_centroid_cosine_distance	B_mean_pairwise_cosine	B_median_pairwise_cosine	B_min_pairwise_cosine	B_std_pairwise_cosine	B_mean_centroid_cosine_distance	B_max_centroid_cosine_distance	N_mean_pairwise_cosine	N_median_pairwise_cosine	N_min_pairwise_cosine	N_std_pairwise_cosine	N_mean_centroid_cosine_distance	N_max_centroid_cosine_distance
BGC0000001	Polyketide	28	100	0.9935749726617249	0.99519759087715076	0.98612627255333041	0.0034829339624602097	0.0025733783093794039	0.0042908812386508455	0.96230217072219892	0.9610839694470068	0.9204909611620492	0.024133248092971328	0.015273948836468709	0.032689275756749403	0.99491640505691092	0.99598929624122534	0.99146908563210723	0.0021090188193870307	0.0020357946650620962	0.0035089983145706327
BGC0000002	Polyketide	34	94	0.94857083161600264	0.95400008669333947	0.85533676280848647	0.036530009895843069	0.020797122273984604	0.040218583361665172	0.9442981998892529	0.95761961085196945	0.86417103887102298	0.038117587859711373	0.022574134709555049	0.044708544241640502	0.94570086583153901	0.94869545981996772	0.85070980022260467	0.039011337871227403	0.021964463602997752	0.0460828902303968
BGC0000003	Polyketide	6	122	0.98320618591552189	0.98391889132567045	0.97298333258239489	0.0084296306597462008	0.0067421268443963456	0.010645293379520027	0.94203969315040958	0.97177602637854132	0.82610471367766447	0.057774448239434228	0.023472513731239996	0.071595282686265471	0.98413277086628947	0.98327319216135101	0.97456440587862436	0.0075489466595459881	0.0063691118385142522	0.0089974987905221404
BGC0000004	Polyketide	23	105	0.98033175630878389	0.99207453154904512	0.95123882561825179	0.01867650882728902	0.0079245659502179319	0.026664729248648378	0.98142613087851538	0.99036017526890374	0.95253233370413537	0.017300171637543285	0.0074763277466115326	0.023873857775782548	0.97908364074990328	0.99190566302197514	0.94869377970504298	0.020237616997891193	0.0084302051056107663	0.028716827619658769
BGC0000006	Polyketide	23	105	0.99328734972821486	0.99417905054604416	0.98363500555466421	0.0039898004334799116	0.0026911702965091598	0.0052844641906728551	0.99341860449866337	0.99406623679941863	0.98692687752237718	0.0032163714211116347	0.0026366491963105477	0.0038048048930912071	0.99105585446066902	0.99350306747059858	0.97738695954393318	0.0063173028299415091	0.0035892807175482932	0.0086449505576337016
BGC0000007	Polyketide	25	103	0.98836603686146085	0.99049977027393643	0.97469752069616966	0.0069365176228668697	0.0046653968497788242	0.0077613657794461943	0.96042313950714464	0.99017480178466288	0.8902537558151129	0.045258236050702526	0.015988652020872317	0.054283364988590765	0.98913141596518772	0.99039059419955577	0.97678169849519303	0.0053704517254088242	0.0043600484181379072	0.0069916756553571879
BGC0000008	Polyketide	23	105	0.99500671907376037	0.9953203534155044	0.98911745116377514	0.0034905771428730696	0.0020001028504704754	0.0048649315114588365	0.99072300603726604	0.99285384139976329	0.98031821119035922	0.0060823009002025571	0.0037193255743432686	0.0068302348454849504	0.99467580064239214	0.99586264017938453	0.9885379034627928	0.0035513714074729107	0.0021335048610761965	0.004658440117568885
BGC0000009	Polyketide	25	103	0.99510486958869815	0.99449979610015826	0.99145286498153662	0.0028015172351805178	0.001960392453948856	0.0039700568649363444	0.99269559755741654	0.99184984381562891	0.98722231775737035	0.0037618425810677534	0.0029277799406580928	0.0057100257616323757	0.99540369966704745	0.9951197834848684	0.99187211874854531	0.0026454681681933713	0.0018405140978795976	0.0036783195670615498
BGC0000010	Polyketide	22	106	0.87949114195069544	0.91591342546871846	0.67248893864773207	0.094795296733412748	0.049451828139707367	0.12963288644517612	0.85630645796035265	0.86717204567828898	0.77627500515245196	0.054612603899669064	0.059328943453780168	0.086697992999278606	0.87939013311720515	0.90934307234199474	0.65769606796500046	0.098731403539606535	0.049532865401332081	0.13366642555460906
BGC0000011	Polyketide	26	102	0.99090269005281706	0.99277579919198211	0.98154127780022415	0.0056337224869145537	0.0036458670659301083	0.0075650733960256344	0.98514422324222495	0.98636723094422085	0.95753764205026493	0.011458027878268587	0.005963074249142641	0.012959284592238718	0.99084770098204866	0.99237878462009421	0.97995126648878816	0.0054596128802243144	0.0036682323207772203	0.0064995936645855235
