BGC	UMAP001	UMAP002
BGC0000001	12.297422	14.413832
BGC0000002	13.289939	14.785869
BGC0000003	13.213307	10.613128
BGC0000004	10.191787	12.442557
BGC0000006	10.352631	12.520782
BGC0000007	10.214189	12.477154
BGC0000008	10.204034	12.510943
BGC0000009	10.167824	12.492942
BGC0000010	12.518001	10.46277
BGC0000011	9.945958	12.489198
BGC0000012	12.678708	11.052674
BGC0000013	12.499171	12.179814
BGC0000014	14.530632	10.245985
BGC0000016	2.7611716	2.1909652
BGC0000017	14.391446	11.687609
BGC0000018	11.705665	14.023974
BGC0000019	12.515531	15.680191
BGC0000020	12.738778	14.802139
BGC0000021	12.720355	14.822778
BGC0000022	13.184746	11.512149
BGC0000023	13.205165	11.156523
BGC0000024	12.481908	14.054684
BGC0000025	1.9917818	1.3752109
BGC0000026	13.397871	14.807133
BGC0000027	10.965376	14.566212
BGC0000028	13.068975	12.991821
BGC0000029	13.737657	13.034316
BGC0000030	11.761526	12.977716
BGC0000031	12.313723	13.965722
BGC0000032	12.85594	14.066294
BGC0000033	14.019501	12.831668
BGC0000034	14.19247	11.612984
BGC0000035	13.7859955	12.737161
BGC0000036	12.752002	14.954128
BGC0000037	13.150033	12.741081
BGC0000038	13.166658	13.998156
BGC0000039	12.966447	10.826714
BGC0000040	13.038597	14.82844
BGC0000041	13.979947	12.293883
BGC0000042	12.59621	13.87387
BGC0000043	14.057865	12.309532
BGC0000044	12.439497	12.035375
BGC0000045	11.392605	12.965168
BGC0000046	13.119191	11.772212
BGC0000047	13.641267	12.861086
BGC0000048	10.287183	13.088796
BGC0000050	12.784763	13.336416
BGC0000051	13.123065	13.01485
BGC0000052	13.31563	14.678105
BGC0000053	13.442424	14.487011
BGC0000054	12.46689	14.043823
BGC0000055	12.292738	15.120423
BGC0000056	13.689922	12.24468
BGC0000057	11.093731	13.720759
BGC0000058	12.616542	13.511343
BGC0000059	13.409061	12.713042
BGC0000060	12.622659	13.453168
BGC0000062	13.443543	11.480546
BGC0000063	13.452601	11.432072
BGC0000064	14.890498	10.157346
BGC0000065	12.709331	10.637137
BGC0000066	13.163131	13.623294
BGC0000067	13.326761	13.776517
BGC0000068	4.872224	2.250863
BGC0000069	13.123929	11.147035
BGC0000070	12.253895	12.109754
BGC0000072	14.488913	10.562617
BGC0000073	12.496543	13.644727
BGC0000074	13.310615	13.441626
BGC0000075	13.416247	14.339079
BGC0000076	9.706631	12.62378
BGC0000077	9.661281	12.590427
BGC0000078	13.487814	14.614286
BGC0000079	12.875465	14.14745
BGC0000080	14.254177	11.67562
BGC0000081	17.085238	9.388985
BGC0000082	12.392981	14.843145
BGC0000083	11.87197	13.822889
BGC0000084	12.700194	13.783398
BGC0000085	12.851113	14.901108
BGC0000086	13.27696	14.271875
BGC0000087	12.756102	14.043869
BGC0000088	12.113645	11.915093
BGC0000090	13.439546	13.144353
BGC0000091	13.059898	11.332834
BGC0000092	13.394149	14.704684
BGC0000093	12.353834	12.411628
BGC0000094	12.045153	14.271119
BGC0000096	13.541864	13.872759
BGC0000097	14.002834	12.705627
BGC0000098	13.393797	11.004914
BGC0000099	12.488304	13.131295
BGC0000100	11.888861	14.138929
BGC0000102	12.341693	15.119228
BGC0000103	13.356925	13.612777
BGC0000104	10.122222	12.932962
BGC0000105	12.260834	14.399695
BGC0000106	12.694199	14.025241
BGC0000107	12.302055	12.402017
BGC0000108	13.958127	12.778609
BGC0000109	10.935581	13.207406
BGC0000110	13.075786	12.808609
BGC0000111	14.048584	12.678552
BGC0000112	13.144916	14.167347
BGC0000113	13.3347435	14.081795
BGC0000114	12.469122	13.201562
BGC0000115	11.965714	14.064322
BGC0000116	13.177553	13.9843
BGC0000117	9.702086	12.635637
BGC0000118	11.845734	14.155991
BGC0000119	12.254155	14.337051
BGC0000120	13.002039	11.7961
BGC0000121	11.183401	13.376023
BGC0000122	15.766691	7.9466963
BGC0000123	12.8539	13.354545
BGC0000124	11.865231	14.124619
BGC0000125	14.021309	12.793276
BGC0000126	12.597242	13.749063
BGC0000127	14.12371	11.073158
BGC0000128	14.813417	10.50416
BGC0000129	12.612858	10.868279
BGC0000130	13.37555	12.53755
BGC0000131	15.581635	8.087956
BGC0000132	13.738471	12.522088
BGC0000133	12.422095	13.422598
BGC0000134	9.922676	12.787659
BGC0000135	13.351164	14.171197
BGC0000136	12.253555	15.176747
BGC0000137	12.142028	14.991747
BGC0000138	16.932892	9.779411
BGC0000140	14.3281	11.621351
BGC0000141	12.362597	15.885513
BGC0000142	12.76262	14.05259
BGC0000143	13.296761	12.967302
BGC0000144	13.208929	11.741595
BGC0000145	14.716648	10.443154
BGC0000146	13.934068	12.469554
BGC0000147	12.358583	14.764394
BGC0000148	13.362097	14.389797
BGC0000149	12.366442	11.981389
BGC0000150	16.676285	9.367709
BGC0000151	13.391978	14.59132
