base_BGC	label	plot_class	any_saccharide	pure_saccharide	source_row_IDs	source_row_indices	augmentation_suffixes	n_augmentations	UMAP1	UMAP2
BGC0000001	Polyketide	Polyketide	False	False	"[""BGC0000001_-1"", ""BGC0000001_0"", ""BGC0000001_1"", ""BGC0000001_2"", ""BGC0000001_3""]"	[1, 0, 2, 3, 4]	[-1, 0, 1, 2, 3]	5	-1.5211446285247803	-1.7674517631530762
BGC0000002	Polyketide	Polyketide	False	False	"[""BGC0000002_-1"", ""BGC0000002_0"", ""BGC0000002_1"", ""BGC0000002_2"", ""BGC0000002_3""]"	[6, 5, 7, 8, 9]	[-1, 0, 1, 2, 3]	5	-0.8938908576965332	-1.1056687831878662
BGC0000003	Polyketide	Polyketide	False	False	"[""BGC0000003_-1"", ""BGC0000003_0"", ""BGC0000003_1"", ""BGC0000003_2"", ""BGC0000003_3""]"	[11, 10, 12, 13, 14]	[-1, 0, 1, 2, 3]	5	-4.6510348320007324	0.96043819189071655
BGC0000004	Polyketide	Polyketide	False	False	"[""BGC0000004_-1"", ""BGC0000004_0"", ""BGC0000004_1"", ""BGC0000004_2"", ""BGC0000004_3""]"	[16, 15, 17, 18, 19]	[-1, 0, 1, 2, 3]	5	-4.8942217826843262	-0.86005508899688721
BGC0000006	Polyketide	Polyketide	False	False	"[""BGC0000006_-1"", ""BGC0000006_0"", ""BGC0000006_1"", ""BGC0000006_2"", ""BGC0000006_3""]"	[21, 20, 22, 23, 24]	[-1, 0, 1, 2, 3]	5	-4.8519997596740723	-0.88627564907073975
BGC0000007	Polyketide	Polyketide	False	False	"[""BGC0000007_-1"", ""BGC0000007_0"", ""BGC0000007_1"", ""BGC0000007_2"", ""BGC0000007_3""]"	[26, 25, 27, 28, 29]	[-1, 0, 1, 2, 3]	5	-4.9553275108337402	-0.75539976358413696
BGC0000008	Polyketide	Polyketide	False	False	"[""BGC0000008_-1"", ""BGC0000008_0"", ""BGC0000008_1"", ""BGC0000008_2"", ""BGC0000008_3""]"	[31, 30, 32, 33, 34]	[-1, 0, 1, 2, 3]	5	-4.9347805976867676	-0.89896947145462036
BGC0000009	Polyketide	Polyketide	False	False	"[""BGC0000009_-1"", ""BGC0000009_0"", ""BGC0000009_1"", ""BGC0000009_2"", ""BGC0000009_3""]"	[36, 35, 37, 38, 39]	[-1, 0, 1, 2, 3]	5	-4.91351318359375	-0.91182225942611694
BGC0000010	Polyketide	Polyketide	False	False	"[""BGC0000010_-1"", ""BGC0000010_0"", ""BGC0000010_1"", ""BGC0000010_2"", ""BGC0000010_3""]"	[41, 40, 42, 43, 44]	[-1, 0, 1, 2, 3]	5	9.7339487075805664	5.2634820938110352
BGC0000011	Polyketide	Polyketide	False	False	"[""BGC0000011_-1"", ""BGC0000011_0"", ""BGC0000011_1"", ""BGC0000011_2"", ""BGC0000011_3""]"	[46, 45, 47, 48, 49]	[-1, 0, 1, 2, 3]	5	-5.3340106010437012	-1.1151044368743896
BGC0000012	Polyketide	Polyketide	False	False	"[""BGC0000012_-1"", ""BGC0000012_0"", ""BGC0000012_1"", ""BGC0000012_2"", ""BGC0000012_3""]"	[51, 50, 52, 53, 54]	[-1, 0, 1, 2, 3]	5	-4.9745416641235352	0.61696887016296387
BGC0000013	Polyketide	Polyketide	False	False	"[""BGC0000013_-1"", ""BGC0000013_0"", ""BGC0000013_1"", ""BGC0000013_2"", ""BGC0000013_3""]"	[56, 55, 57, 58, 59]	[-1, 0, 1, 2, 3]	5	-4.3019537925720215	-0.49968138337135315
BGC0000014	Polyketide	Polyketide	False	False	"[""BGC0000014_-1"", ""BGC0000014_0"", ""BGC0000014_1"", ""BGC0000014_2"", ""BGC0000014_3""]"	[61, 60, 62, 63, 64]	[-1, 0, 1, 2, 3]	5	-4.0512523651123047	2.2129240036010742
BGC0000016	Other	Other	False	False	"[""BGC0000016_-1"", ""BGC0000016_0"", ""BGC0000016_1"", ""BGC0000016_2"", ""BGC0000016_3""]"	[66, 65, 67, 68, 69]	[-1, 0, 1, 2, 3]	5	10.257051467895508	2.7150604724884033
BGC0000017	Polyketide Alkaloid	Hybrid	False	False	"[""BGC0000017_-1"", ""BGC0000017_0"", ""BGC0000017_1"", ""BGC0000017_2"", ""BGC0000017_3""]"	[71, 70, 72, 73, 74]	[-1, 0, 1, 2, 3]	5	-3.1810646057128906	-0.036741245537996292
BGC0000018	Polyketide	Polyketide	False	False	"[""BGC0000018_-1"", ""BGC0000018_0"", ""BGC0000018_1"", ""BGC0000018_2"", ""BGC0000018_3""]"	[76, 75, 77, 78, 79]	[-1, 0, 1, 2, 3]	5	-2.7316420078277588	-2.015887975692749
BGC0000019	Polyketide	Polyketide	False	False	"[""BGC0000019_-1"", ""BGC0000019_0"", ""BGC0000019_1"", ""BGC0000019_2"", ""BGC0000019_3""]"	[81, 80, 82, 83, 84]	[-1, 0, 1, 2, 3]	5	9.591944694519043	1.2874540090560913
BGC0000020	Polyketide	Polyketide	False	False	"[""BGC0000020_-1"", ""BGC0000020_0"", ""BGC0000020_1"", ""BGC0000020_2"", ""BGC0000020_3""]"	[86, 85, 87, 88, 89]	[-1, 0, 1, 2, 3]	5	-1.1139886379241943	-1.0278356075286865
BGC0000021	Polyketide	Polyketide	False	False	"[""BGC0000021_-1"", ""BGC0000021_0"", ""BGC0000021_1"", ""BGC0000021_2"", ""BGC0000021_3""]"	[91, 90, 92, 93, 94]	[-1, 0, 1, 2, 3]	5	-1.5747839212417603	-1.5077112913131714
BGC0000022	Polyketide	Polyketide	False	False	"[""BGC0000022_-1"", ""BGC0000022_0"", ""BGC0000022_1"", ""BGC0000022_2"", ""BGC0000022_3""]"	[96, 95, 97, 98, 99]	[-1, 0, 1, 2, 3]	5	-3.8864967823028564	0.67053896188735962
BGC0000023	Polyketide	Polyketide	False	False	"[""BGC0000023_-1"", ""BGC0000023_0"", ""BGC0000023_1"", ""BGC0000023_2"", ""BGC0000023_3""]"	[101, 100, 102, 103, 104]	[-1, 0, 1, 2, 3]	5	-3.5278868675231934	0.14193823933601379
BGC0000024	Polyketide	Polyketide	False	False	"[""BGC0000024_-1"", ""BGC0000024_0"", ""BGC0000024_1"", ""BGC0000024_2"", ""BGC0000024_3""]"	[106, 105, 107, 108, 109]	[-1, 0, 1, 2, 3]	5	-1.4746346473693848	-1.5007752180099487
BGC0000025	Polyketide	Polyketide	False	False	"[""BGC0000025_-1"", ""BGC0000025_0"", ""BGC0000025_1"", ""BGC0000025_2"", ""BGC0000025_3""]"	[111, 110, 112, 113, 114]	[-1, 0, 1, 2, 3]	5	8.8889398574829102	1.1390981674194336
BGC0000026	Saccharide	Saccharide	True	True	"[""BGC0000026_-1"", ""BGC0000026_0"", ""BGC0000026_1"", ""BGC0000026_2"", ""BGC0000026_3""]"	[116, 115, 117, 118, 119]	[-1, 0, 1, 2, 3]	5	-1.1114121675491333	-0.91727620363235474
BGC0000027	Polyketide	Polyketide	False	False	"[""BGC0000027_-1"", ""BGC0000027_0"", ""BGC0000027_1"", ""BGC0000027_2"", ""BGC0000027_3""]"	[121, 120, 122, 123, 124]	[-1, 0, 1, 2, 3]	5	-2.2776031494140625	-2.605391263961792
BGC0000028	Polyketide	Polyketide	False	False	"[""BGC0000028_-1"", ""BGC0000028_0"", ""BGC0000028_1"", ""BGC0000028_2"", ""BGC0000028_3""]"	[126, 125, 127, 128, 129]	[-1, 0, 1, 2, 3]	5	-2.7219152450561523	-0.81015938520431519
BGC0000029	Polyketide	Polyketide	False	False	"[""BGC0000029_-1"", ""BGC0000029_0"", ""BGC0000029_1"", ""BGC0000029_2"", ""BGC0000029_3""]"	[131, 130, 132, 133, 134]	[-1, 0, 1, 2, 3]	5	-1.647986888885498	-1.200577974319458
BGC0000030	Polyketide	Polyketide	False	False	"[""BGC0000030_-1"", ""BGC0000030_0"", ""BGC0000030_1"", ""BGC0000030_2"", ""BGC0000030_3""]"	[136, 135, 137, 138, 139]	[-1, 0, 1, 2, 3]	5	-3.8283679485321045	-0.93261903524398804
BGC0000031	Polyketide	Polyketide	False	False	"[""BGC0000031_-1"", ""BGC0000031_0"", ""BGC0000031_1"", ""BGC0000031_2"", ""BGC0000031_3""]"	[141, 140, 142, 143, 144]	[-1, 0, 1, 2, 3]	5	-2.9641692638397217	-0.89840346574783325
BGC0000032	Polyketide	Polyketide	False	False	"[""BGC0000032_-1"", ""BGC0000032_0"", ""BGC0000032_1"", ""BGC0000032_2"", ""BGC0000032_3""]"	[146, 145, 147, 148, 149]	[-1, 0, 1, 2, 3]	5	-2.6221404075622559	-1.3583561182022095
BGC0000033	Polyketide	Polyketide	False	False	"[""BGC0000033_-1"", ""BGC0000033_0"", ""BGC0000033_1"", ""BGC0000033_2"", ""BGC0000033_3""]"	[151, 150, 152, 153, 154]	[-1, 0, 1, 2, 3]	5	-3.3013970851898193	1.1502625942230225
BGC0000034	NRP Polyketide	Hybrid	False	False	"[""BGC0000034_-1"", ""BGC0000034_0"", ""BGC0000034_1"", ""BGC0000034_2"", ""BGC0000034_3""]"	[156, 155, 157, 158, 159]	[-1, 0, 1, 2, 3]	5	-2.4468374252319336	-0.033338159322738647
BGC0000035	Polyketide	Polyketide	False	False	"[""BGC0000035_-1"", ""BGC0000035_0"", ""BGC0000035_1"", ""BGC0000035_2"", ""BGC0000035_3""]"	[161, 160, 162, 163, 164]	[-1, 0, 1, 2, 3]	5	-2.2799608707427979	-0.35741314291954041
BGC0000036	Polyketide Saccharide	Hybrid	True	False	"[""BGC0000036_-1"", ""BGC0000036_0"", ""BGC0000036_1"", ""BGC0000036_2"", ""BGC0000036_3""]"	[166, 165, 167, 168, 169]	[-1, 0, 1, 2, 3]	5	-1.2935247421264648	-1.1759510040283203
BGC0000037	Polyketide	Polyketide	False	False	"[""BGC0000037_-1"", ""BGC0000037_0"", ""BGC0000037_1"", ""BGC0000037_2"", ""BGC0000037_3""]"	[171, 170, 172, 173, 174]	[-1, 0, 1, 2, 3]	5	-3.5858745574951172	-0.097451530396938324
BGC0000038	Polyketide	Polyketide	False	False	"[""BGC0000038_-1"", ""BGC0000038_0"", ""BGC0000038_1"", ""BGC0000038_2"", ""BGC0000038_3""]"	[176, 175, 177, 178, 179]	[-1, 0, 1, 2, 3]	5	-2.8548762798309326	-0.71477597951889038
BGC0000039	Polyketide	Polyketide	False	False	"[""BGC0000039_-1"", ""BGC0000039_0"", ""BGC0000039_1"", ""BGC0000039_2"", ""BGC0000039_3""]"	[181, 180, 182, 183, 184]	[-1, 0, 1, 2, 3]	5	-4.560978889465332	1.0332291126251221
BGC0000040	Polyketide	Polyketide	False	False	"[""BGC0000040_-1"", ""BGC0000040_0"", ""BGC0000040_1"", ""BGC0000040_2"", ""BGC0000040_3""]"	[186, 185, 187, 188, 189]	[-1, 0, 1, 2, 3]	5	-1.4057618379592896	-0.94728720188140869
BGC0000041	Polyketide	Polyketide	False	False	"[""BGC0000041_-1"", ""BGC0000041_0"", ""BGC0000041_1"", ""BGC0000041_2"", ""BGC0000041_3""]"	[191, 190, 192, 193, 194]	[-1, 0, 1, 2, 3]	5	-2.9746527671813965	-1.1239800453186035
BGC0000042	Polyketide	Polyketide	False	False	"[""BGC0000042_-1"", ""BGC0000042_0"", ""BGC0000042_1"", ""BGC0000042_2"", ""BGC0000042_3""]"	[196, 195, 197, 198, 199]	[-1, 0, 1, 2, 3]	5	-2.3706493377685547	-0.39912304282188416
BGC0000043	Polyketide	Polyketide	False	False	"[""BGC0000043_-1"", ""BGC0000043_0"", ""BGC0000043_1"", ""BGC0000043_2"", ""BGC0000043_3""]"	[201, 200, 202, 203, 204]	[-1, 0, 1, 2, 3]	5	-3.3106696605682373	-1.150112509727478
BGC0000044	Polyketide	Polyketide	False	False	"[""BGC0000044_-1"", ""BGC0000044_0"", ""BGC0000044_1"", ""BGC0000044_2"", ""BGC0000044_3""]"	[206, 205, 207, 208, 209]	[-1, 0, 1, 2, 3]	5	-4.1691470146179199	-0.13826571404933929
BGC0000045	Polyketide	Polyketide	False	False	"[""BGC0000045_-1"", ""BGC0000045_0"", ""BGC0000045_1"", ""BGC0000045_2"", ""BGC0000045_3""]"	[211, 210, 212, 213, 214]	[-1, 0, 1, 2, 3]	5	-4.3599429130554199	-1.1077656745910645
BGC0000046	Polyketide	Polyketide	False	False	"[""BGC0000046_-1"", ""BGC0000046_0"", ""BGC0000046_1"", ""BGC0000046_2"", ""BGC0000046_3""]"	[216, 215, 217, 218, 219]	[-1, 0, 1, 2, 3]	5	-3.4099500179290771	0.94248998165130615
BGC0000047	Polyketide	Polyketide	False	False	"[""BGC0000047_-1"", ""BGC0000047_0"", ""BGC0000047_1"", ""BGC0000047_2"", ""BGC0000047_3""]"	[221, 220, 222, 223, 224]	[-1, 0, 1, 2, 3]	5	-2.5485250949859619	0.22944606840610504
BGC0000048	Polyketide	Polyketide	False	False	"[""BGC0000048_-1"", ""BGC0000048_0"", ""BGC0000048_1"", ""BGC0000048_2"", ""BGC0000048_3""]"	[226, 225, 227, 228, 229]	[-1, 0, 1, 2, 3]	5	-4.9496850967407227	-1.290177583694458
BGC0000050	Polyketide	Polyketide	False	False	"[""BGC0000050_-1"", ""BGC0000050_0"", ""BGC0000050_1"", ""BGC0000050_2"", ""BGC0000050_3""]"	[231, 230, 232, 233, 234]	[-1, 0, 1, 2, 3]	5	-2.0065600872039795	-0.88179093599319458
BGC0000051	Polyketide	Polyketide	False	False	"[""BGC0000051_-1"", ""BGC0000051_0"", ""BGC0000051_1"", ""BGC0000051_2"", ""BGC0000051_3""]"	[236, 235, 237, 238, 239]	[-1, 0, 1, 2, 3]	5	-2.6555266380310059	-0.80997437238693237
BGC0000052	Polyketide	Polyketide	False	False	"[""BGC0000052_-1"", ""BGC0000052_0"", ""BGC0000052_1"", ""BGC0000052_2"", ""BGC0000052_3""]"	[241, 240, 242, 243, 244]	[-1, 0, 1, 2, 3]	5	-1.2863935232162476	-0.97739958763122559
BGC0000053	Polyketide	Polyketide	False	False	"[""BGC0000053_-1"", ""BGC0000053_0"", ""BGC0000053_1"", ""BGC0000053_2"", ""BGC0000053_3""]"	[246, 245, 247, 248, 249]	[-1, 0, 1, 2, 3]	5	-1.4336813688278198	-0.87406367063522339
BGC0000054	Polyketide	Polyketide	False	False	"[""BGC0000054_-1"", ""BGC0000054_0"", ""BGC0000054_1"", ""BGC0000054_2"", ""BGC0000054_3""]"	[251, 250, 252, 253, 254]	[-1, 0, 1, 2, 3]	5	-2.5729091167449951	-1.0167720317840576
BGC0000055	Polyketide Saccharide	Hybrid	True	False	"[""BGC0000055_-1"", ""BGC0000055_0"", ""BGC0000055_1"", ""BGC0000055_2"", ""BGC0000055_3""]"	[256, 255, 257, 258, 259]	[-1, 0, 1, 2, 3]	5	-1.1762418746948242	-1.7526642084121704
BGC0000056	Polyketide	Polyketide	False	False	"[""BGC0000056_-1"", ""BGC0000056_0"", ""BGC0000056_1"", ""BGC0000056_2"", ""BGC0000056_3""]"	[261, 260, 262, 263, 264]	[-1, 0, 1, 2, 3]	5	-3.2749559879302979	0.77776545286178589
BGC0000057	Polyketide	Polyketide	False	False	"[""BGC0000057_-1"", ""BGC0000057_0"", ""BGC0000057_1"", ""BGC0000057_2"", ""BGC0000057_3""]"	[266, 265, 267, 268, 269]	[-1, 0, 1, 2, 3]	5	-3.9534587860107422	-1.4938815832138062
BGC0000058	Polyketide	Polyketide	False	False	"[""BGC0000058_-1"", ""BGC0000058_0"", ""BGC0000058_1"", ""BGC0000058_2"", ""BGC0000058_3""]"	[271, 270, 272, 273, 274]	[-1, 0, 1, 2, 3]	5	-1.384358286857605	-1.8980756998062134
BGC0000059	Polyketide	Polyketide	False	False	"[""BGC0000059_-1"", ""BGC0000059_0"", ""BGC0000059_1"", ""BGC0000059_2"", ""BGC0000059_3""]"	[276, 275, 277, 278, 279]	[-1, 0, 1, 2, 3]	5	-1.7865414619445801	-2.1497123241424561
BGC0000060	Polyketide	Polyketide	False	False	"[""BGC0000060_-1"", ""BGC0000060_0"", ""BGC0000060_1"", ""BGC0000060_2"", ""BGC0000060_3""]"	[281, 280, 282, 283, 284]	[-1, 0, 1, 2, 3]	5	-2.6958363056182861	-0.9724651575088501
BGC0000062	Polyketide	Polyketide	False	False	"[""BGC0000062_-1"", ""BGC0000062_0"", ""BGC0000062_1"", ""BGC0000062_2"", ""BGC0000062_3""]"	[286, 285, 287, 288, 289]	[-1, 0, 1, 2, 3]	5	-3.3920691013336182	2.015815258026123
BGC0000063	Polyketide	Polyketide	False	False	"[""BGC0000063_-1"", ""BGC0000063_0"", ""BGC0000063_1"", ""BGC0000063_2"", ""BGC0000063_3""]"	[291, 290, 292, 293, 294]	[-1, 0, 1, 2, 3]	5	-3.4978559017181396	2.0606510639190674
BGC0000064	NRP Polyketide	Hybrid	False	False	"[""BGC0000064_-1"", ""BGC0000064_0"", ""BGC0000064_1"", ""BGC0000064_2"", ""BGC0000064_3""]"	[296, 295, 297, 298, 299]	[-1, 0, 1, 2, 3]	5	-2.2482061386108398	-0.38624417781829834
BGC0000065	Polyketide	Polyketide	False	False	"[""BGC0000065_-1"", ""BGC0000065_0"", ""BGC0000065_1"", ""BGC0000065_2"", ""BGC0000065_3""]"	[301, 300, 302, 303, 304]	[-1, 0, 1, 2, 3]	5	-4.2612199783325195	-1.0453877449035645
BGC0000066	Polyketide	Polyketide	False	False	"[""BGC0000066_-1"", ""BGC0000066_0"", ""BGC0000066_1"", ""BGC0000066_2"", ""BGC0000066_3""]"	[306, 305, 307, 308, 309]	[-1, 0, 1, 2, 3]	5	-3.0126588344573975	-1.1123507022857666
BGC0000067	Polyketide	Polyketide	False	False	"[""BGC0000067_-1"", ""BGC0000067_0"", ""BGC0000067_1"", ""BGC0000067_2"", ""BGC0000067_3""]"	[311, 310, 312, 313, 314]	[-1, 0, 1, 2, 3]	5	-2.9926497936248779	-1.3122804164886475
BGC0000068	Polyketide	Polyketide	False	False	"[""BGC0000068_-1"", ""BGC0000068_0"", ""BGC0000068_1"", ""BGC0000068_2"", ""BGC0000068_3""]"	[316, 315, 317, 318, 319]	[-1, 0, 1, 2, 3]	5	10.355399131774902	3.1552257537841797
BGC0000069	Polyketide	Polyketide	False	False	"[""BGC0000069_-1"", ""BGC0000069_0"", ""BGC0000069_1"", ""BGC0000069_2"", ""BGC0000069_3""]"	[321, 320, 322, 323, 324]	[-1, 0, 1, 2, 3]	5	-3.5110363960266113	0.50154566764831543
BGC0000070	Polyketide	Polyketide	False	False	"[""BGC0000070_-1"", ""BGC0000070_0"", ""BGC0000070_1"", ""BGC0000070_2"", ""BGC0000070_3""]"	[326, 325, 327, 328, 329]	[-1, 0, 1, 2, 3]	5	-4.1106748580932617	-0.46098843216896057
BGC0000072	Polyketide	Polyketide	False	False	"[""BGC0000072_-1"", ""BGC0000072_0"", ""BGC0000072_1"", ""BGC0000072_2"", ""BGC0000072_3""]"	[331, 330, 332, 333, 334]	[-1, 0, 1, 2, 3]	5	-2.5458974838256836	-0.34332892298698425
BGC0000073	Polyketide	Polyketide	False	False	"[""BGC0000073_-1"", ""BGC0000073_0"", ""BGC0000073_1"", ""BGC0000073_2"", ""BGC0000073_3""]"	[336, 335, 337, 338, 339]	[-1, 0, 1, 2, 3]	5	-1.6573365926742554	-2.1514453887939453
BGC0000074	Polyketide	Polyketide	False	False	"[""BGC0000074_-1"", ""BGC0000074_0"", ""BGC0000074_1"", ""BGC0000074_2"", ""BGC0000074_3""]"	[341, 340, 342, 343, 344]	[-1, 0, 1, 2, 3]	5	-3.0857038497924805	-0.99520272016525269
BGC0000075	Polyketide	Polyketide	False	False	"[""BGC0000075_-1"", ""BGC0000075_0"", ""BGC0000075_1"", ""BGC0000075_2"", ""BGC0000075_3""]"	[346, 345, 347, 348, 349]	[-1, 0, 1, 2, 3]	5	-2.4273905754089355	-1.3627693653106689
