definition	BGC	k	positive_neighbors	precision_at_k
any_saccharide	BGC0000026	5	2	0.4
any_saccharide	BGC0000036	5	1	0.2
any_saccharide	BGC0000055	5	0	0.0
any_saccharide	BGC0000094	5	0	0.0
any_saccharide	BGC0000115	5	0	0.0
any_saccharide	BGC0000119	5	1	0.2
any_saccharide	BGC0000151	5	0	0.0
any_saccharide	BGC0000197	5	1	0.2
any_saccharide	BGC0000198	5	5	1.0
any_saccharide	BGC0000199	5	4	0.8
any_saccharide	BGC0000200	5	5	1.0
any_saccharide	BGC0000201	5	1	0.2
any_saccharide	BGC0000210	5	4	0.8
any_saccharide	BGC0000219	5	1	0.2
any_saccharide	BGC0000229	5	2	0.4
any_saccharide	BGC0000239	5	5	1.0
any_saccharide	BGC0000240	5	4	0.8
any_saccharide	BGC0000241	5	3	0.6
any_saccharide	BGC0000247	5	4	0.8
any_saccharide	BGC0000262	5	4	0.8
any_saccharide	BGC0000267	5	4	0.8
any_saccharide	BGC0000269	5	4	0.8
any_saccharide	BGC0000273	5	4	0.8
any_saccharide	BGC0000285	5	0	0.0
any_saccharide	BGC0000289	5	1	0.2
any_saccharide	BGC0000297	5	0	0.0
any_saccharide	BGC0000369	5	0	0.0
any_saccharide	BGC0000419	5	1	0.2
any_saccharide	BGC0000632	5	1	0.2
any_saccharide	BGC0000654	5	1	0.2
any_saccharide	BGC0000689	5	5	1.0
any_saccharide	BGC0000690	5	5	1.0
any_saccharide	BGC0000691	5	5	1.0
any_saccharide	BGC0000692	5	5	1.0
any_saccharide	BGC0000693	5	5	1.0
any_saccharide	BGC0000694	5	5	1.0
any_saccharide	BGC0000695	5	5	1.0
any_saccharide	BGC0000696	5	5	1.0
any_saccharide	BGC0000698	5	2	0.4
any_saccharide	BGC0000699	5	5	1.0
any_saccharide	BGC0000700	5	5	1.0
any_saccharide	BGC0000701	5	5	1.0
any_saccharide	BGC0000702	5	5	1.0
any_saccharide	BGC0000703	5	5	1.0
any_saccharide	BGC0000704	5	5	1.0
any_saccharide	BGC0000705	5	5	1.0
any_saccharide	BGC0000706	5	5	1.0
any_saccharide	BGC0000707	5	5	1.0
any_saccharide	BGC0000708	5	5	1.0
any_saccharide	BGC0000709	5	5	1.0
any_saccharide	BGC0000711	5	5	1.0
any_saccharide	BGC0000712	5	4	0.8
any_saccharide	BGC0000713	5	5	1.0
any_saccharide	BGC0000714	5	5	1.0
any_saccharide	BGC0000715	5	4	0.8
any_saccharide	BGC0000716	5	5	1.0
any_saccharide	BGC0000719	5	5	1.0
any_saccharide	BGC0000720	5	5	1.0
any_saccharide	BGC0000721	5	5	1.0
any_saccharide	BGC0000722	5	4	0.8
any_saccharide	BGC0000723	5	5	1.0
any_saccharide	BGC0000724	5	5	1.0
any_saccharide	BGC0000725	5	5	1.0
any_saccharide	BGC0000727	5	5	1.0
any_saccharide	BGC0000728	5	5	1.0
any_saccharide	BGC0000729	5	5	1.0
any_saccharide	BGC0000730	5	5	1.0
any_saccharide	BGC0000731	5	5	1.0
any_saccharide	BGC0000732	5	5	1.0
any_saccharide	BGC0000733	5	5	1.0
any_saccharide	BGC0000734	5	5	1.0
any_saccharide	BGC0000735	5	5	1.0
any_saccharide	BGC0000736	5	5	1.0
any_saccharide	BGC0000737	5	5	1.0
any_saccharide	BGC0000738	5	5	1.0
any_saccharide	BGC0000739	5	5	1.0
any_saccharide	BGC0000740	5	5	1.0
any_saccharide	BGC0000741	5	5	1.0
any_saccharide	BGC0000742	5	5	1.0
any_saccharide	BGC0000743	5	5	1.0
any_saccharide	BGC0000744	5	5	1.0
any_saccharide	BGC0000745	5	5	1.0
any_saccharide	BGC0000746	5	5	1.0
any_saccharide	BGC0000747	5	5	1.0
any_saccharide	BGC0000748	5	5	1.0
any_saccharide	BGC0000749	5	4	0.8
any_saccharide	BGC0000751	5	5	1.0
any_saccharide	BGC0000752	5	5	1.0
any_saccharide	BGC0000753	5	5	1.0
any_saccharide	BGC0000754	5	5	1.0
any_saccharide	BGC0000755	5	5	1.0
any_saccharide	BGC0000756	5	5	1.0
any_saccharide	BGC0000757	5	5	1.0
any_saccharide	BGC0000758	5	5	1.0
any_saccharide	BGC0000759	5	5	1.0
any_saccharide	BGC0000760	5	5	1.0
any_saccharide	BGC0000761	5	5	1.0
any_saccharide	BGC0000762	5	5	1.0
any_saccharide	BGC0000763	5	5	1.0
any_saccharide	BGC0000764	5	5	1.0
any_saccharide	BGC0000765	5	5	1.0
any_saccharide	BGC0000766	5	5	1.0
any_saccharide	BGC0000767	5	5	1.0
any_saccharide	BGC0000768	5	5	1.0
any_saccharide	BGC0000769	5	5	1.0
any_saccharide	BGC0000770	5	5	1.0
any_saccharide	BGC0000772	5	5	1.0
any_saccharide	BGC0000773	5	5	1.0
any_saccharide	BGC0000774	5	5	1.0
any_saccharide	BGC0000775	5	5	1.0
any_saccharide	BGC0000776	5	5	1.0
any_saccharide	BGC0000777	5	5	1.0
any_saccharide	BGC0000778	5	4	0.8
any_saccharide	BGC0000779	5	5	1.0
any_saccharide	BGC0000780	5	5	1.0
any_saccharide	BGC0000781	5	4	0.8
any_saccharide	BGC0000782	5	5	1.0
any_saccharide	BGC0000783	5	5	1.0
any_saccharide	BGC0000784	5	5	1.0
any_saccharide	BGC0000785	5	5	1.0
any_saccharide	BGC0000786	5	5	1.0
any_saccharide	BGC0000787	5	5	1.0
any_saccharide	BGC0000788	5	5	1.0
any_saccharide	BGC0000789	5	5	1.0
any_saccharide	BGC0000790	5	5	1.0
any_saccharide	BGC0000791	5	5	1.0
any_saccharide	BGC0000792	5	5	1.0
any_saccharide	BGC0000793	5	5	1.0
any_saccharide	BGC0000794	5	5	1.0
any_saccharide	BGC0000795	5	5	1.0
any_saccharide	BGC0000796	5	5	1.0
any_saccharide	BGC0000797	5	5	1.0
any_saccharide	BGC0000798	5	1	0.2
any_saccharide	BGC0000799	5	5	1.0
any_saccharide	BGC0000800	5	5	1.0
any_saccharide	BGC0000801	5	4	0.8
any_saccharide	BGC0000802	5	0	0.0
any_saccharide	BGC0000803	5	5	1.0
any_saccharide	BGC0000804	5	5	1.0
any_saccharide	BGC0000806	5	5	1.0
any_saccharide	BGC0000807	5	5	1.0
any_saccharide	BGC0000832	5	5	1.0
any_saccharide	BGC0000833	5	1	0.2
any_saccharide	BGC0000834	5	5	1.0
any_saccharide	BGC0000875	5	5	1.0
any_saccharide	BGC0000898	5	5	1.0
any_saccharide	BGC0000899	5	5	1.0
any_saccharide	BGC0000953	5	5	1.0
any_saccharide	BGC0000963	5	1	0.2
any_saccharide	BGC0001003	5	1	0.2
any_saccharide	BGC0001046	5	1	0.2
any_saccharide	BGC0001048	5	0	0.0
any_saccharide	BGC0001058	5	3	0.6
any_saccharide	BGC0001061	5	2	0.4
any_saccharide	BGC0001072	5	0	0.0
any_saccharide	BGC0001074	5	3	0.6
any_saccharide	BGC0001149	5	0	0.0
any_saccharide	BGC0001380	5	5	1.0
any_saccharide	BGC0001410	5	5	1.0
any_saccharide	BGC0001411	5	5	1.0
any_saccharide	BGC0001412	5	5	1.0
any_saccharide	BGC0001438	5	1	0.2
any_saccharide	BGC0001439	5	2	0.4
any_saccharide	BGC0001586	5	5	1.0
any_saccharide	BGC0001588	5	5	1.0
any_saccharide	BGC0001589	5	5	1.0
any_saccharide	BGC0001603	5	5	1.0
any_saccharide	BGC0001654	5	5	1.0
any_saccharide	BGC0001765	5	5	1.0
any_saccharide	BGC0001846	5	1	0.2
any_saccharide	BGC0001851	5	4	0.8
any_saccharide	BGC0001852	5	4	0.8
any_saccharide	BGC0001894	5	5	1.0
any_saccharide	BGC0001947	5	5	1.0
any_saccharide	BGC0002020	5	4	0.8
any_saccharide	BGC0002054	5	0	0.0
any_saccharide	BGC0002085	5	3	0.6
any_saccharide	BGC0002088	5	4	0.8
any_saccharide	BGC0002097	5	3	0.6
any_saccharide	BGC0002131	5	0	0.0
any_saccharide	BGC0002173	5	0	0.0
any_saccharide	BGC0002295	5	1	0.2
any_saccharide	BGC0002302	5	5	1.0
any_saccharide	BGC0002349	5	0	0.0
any_saccharide	BGC0002350	5	2	0.4
any_saccharide	BGC0002361	5	5	1.0
any_saccharide	BGC0002405	5	0	0.0
any_saccharide	BGC0002407	5	0	0.0
any_saccharide	BGC0002430	5	0	0.0
any_saccharide	BGC0002431	5	0	0.0
any_saccharide	BGC0002462	5	5	1.0
any_saccharide	BGC0002479	5	0	0.0
any_saccharide	BGC0002652	5	4	0.8
any_saccharide	BGC0002721	5	1	0.2
any_saccharide	BGC0002722	5	0	0.0
any_saccharide	BGC0000026	10	2	0.2
any_saccharide	BGC0000036	10	3	0.3
any_saccharide	BGC0000055	10	0	0.0
any_saccharide	BGC0000094	10	1	0.1
any_saccharide	BGC0000115	10	0	0.0
any_saccharide	BGC0000119	10	1	0.1
any_saccharide	BGC0000151	10	0	0.0
any_saccharide	BGC0000197	10	3	0.3
any_saccharide	BGC0000198	10	9	0.9
any_saccharide	BGC0000199	10	5	0.5
any_saccharide	BGC0000200	10	7	0.7
any_saccharide	BGC0000201	10	3	0.3
any_saccharide	BGC0000210	10	9	0.9
any_saccharide	BGC0000219	10	2	0.2
any_saccharide	BGC0000229	10	5	0.5
any_saccharide	BGC0000239	10	9	0.9
any_saccharide	BGC0000240	10	9	0.9
any_saccharide	BGC0000241	10	6	0.6
any_saccharide	BGC0000247	10	9	0.9
any_saccharide	BGC0000262	10	9	0.9
any_saccharide	BGC0000267	10	8	0.8
any_saccharide	BGC0000269	10	9	0.9
any_saccharide	BGC0000273	10	9	0.9
any_saccharide	BGC0000285	10	0	0.0
any_saccharide	BGC0000289	10	1	0.1
any_saccharide	BGC0000297	10	0	0.0
any_saccharide	BGC0000369	10	0	0.0
any_saccharide	BGC0000419	10	1	0.1
any_saccharide	BGC0000632	10	2	0.2
any_saccharide	BGC0000654	10	1	0.1
any_saccharide	BGC0000689	10	10	1.0
any_saccharide	BGC0000690	10	9	0.9
any_saccharide	BGC0000691	10	10	1.0
any_saccharide	BGC0000692	10	10	1.0
any_saccharide	BGC0000693	10	10	1.0
any_saccharide	BGC0000694	10	10	1.0
any_saccharide	BGC0000695	10	10	1.0
any_saccharide	BGC0000696	10	10	1.0
any_saccharide	BGC0000698	10	5	0.5
any_saccharide	BGC0000699	10	10	1.0
any_saccharide	BGC0000700	10	9	0.9
any_saccharide	BGC0000701	10	10	1.0
any_saccharide	BGC0000702	10	10	1.0
any_saccharide	BGC0000703	10	10	1.0
any_saccharide	BGC0000704	10	10	1.0
any_saccharide	BGC0000705	10	10	1.0
any_saccharide	BGC0000706	10	10	1.0
any_saccharide	BGC0000707	10	10	1.0
any_saccharide	BGC0000708	10	10	1.0
any_saccharide	BGC0000709	10	10	1.0
any_saccharide	BGC0000711	10	10	1.0
any_saccharide	BGC0000712	10	9	0.9
any_saccharide	BGC0000713	10	10	1.0
any_saccharide	BGC0000714	10	10	1.0
any_saccharide	BGC0000715	10	9	0.9
