representative	total_size	direct_members	indirect_members	direct_fraction	cytoscape_status
A0A3Q8Q3U2	594	493	100	0.8314	visible
A0A2I7QK01	43	7	35	0.1667	visible
J9PTY6	22	12	9	0.5714	visible
A0A6J5N5Z7	20	0	19	0.0000	absent
A0A6J7WNI4	19	4	14	0.2222	visible
A0A7U0G8P3	18	6	11	0.3529	visible
Q91BC9	16	10	5	0.6667	visible
A0A411D364	14	11	2	0.8462	visible
H9NC57	13	9	3	0.7500	visible
R9TQH4	11	2	8	0.2000	visible
A0A679FDZ4	10	4	5	0.4444	visible
A0A513Q9S0	9	0	8	0.0000	absent
A0A650EES4	8	0	7	0.0000	absent
A0A6G5XYV5	8	5	2	0.7143	visible
A0A7G5M3N2	8	3	4	0.4286	visible
A0A2P0VNQ4	7	2	4	0.3333	visible
A0A2P1GNG2	7	3	3	0.5000	visible
A0A1V0SJ19	6	1	4	0.2000	visible
A0A290U429	6	3	2	0.6000	visible
A0A3G4ZUT7	6	3	2	0.6000	visible
A0A481Z5T9	5	4	0	1.0000	visible
A0A514DGR2	5	0	4	0.0000	absent
A0A5Q2F871	5	0	4	0.0000	absent
A0A8F4MX76	5	0	4	0.0000	absent
A0A3T1CXE0	4	0	3	0.0000	absent
A0A4D5XFN5	4	1	2	0.3333	visible
A0A5C1K3T9	4	0	3	0.0000	absent
A0A8F8KTN6	4	2	1	0.6667	visible
K4RM63	4	0	3	0.0000	absent
S4VP33	4	0	3	0.0000	absent
U5NIS9	4	1	2	0.3333	visible
A0A0B5JEK5	3	0	2	0.0000	absent
A0A1C9C546	3	0	2	0.0000	absent
A0A2H5BQC2	3	1	1	0.5000	visible
A0A2I7RBG1	3	0	2	0.0000	absent
A0A2S1FYN1	3	0	2	0.0000	absent
A0A401IPP5	3	1	1	0.5000	visible
A0A410TDX1	3	0	2	0.0000	absent
A0A481YYA9	3	0	2	0.0000	absent
A0A513QA86	3	0	2	0.0000	absent
A0A516LHE3	3	2	0	1.0000	visible
A0A5K0U7A3	3	1	1	0.5000	visible
A0A7M1RVJ3	3	0	2	0.0000	absent
A0A8S5M340	3	0	2	0.0000	absent
A0A8S5RPZ6	3	1	1	0.5000	visible
H6SU46	3	2	0	1.0000	visible
J9QGR4	3	1	1	0.5000	visible
Q197D5	3	1	1	0.5000	visible
Q94MU6	3	0	2	0.0000	absent
T2C5F8	3	2	0	1.0000	visible
UPI000009AE93	3	0	2	0.0000	absent
A0A0B5J7K0	2	0	1	0.0000	absent
A0A1B0XUM4	2	0	1	0.0000	absent
A0A1C8ZZ47	2	0	1	0.0000	absent
A0A1L3KMJ9	2	0	1	0.0000	absent
A0A1S5VFY0	2	0	1	0.0000	absent
A0A1V0M8G7	2	0	1	0.0000	absent
A0A1V0SF98	2	1	0	1.0000	visible
A0A1V0SL47	2	1	0	1.0000	visible
A0A1X9VNW5	2	1	0	1.0000	visible
A0A1Z1NED9	2	0	1	0.0000	absent
A0A2D0ZP19	2	1	0	1.0000	visible
A0A2P1GNX3	2	1	0	1.0000	visible
A0A2S0SZ38	2	0	1	0.0000	absent
A0A345MUK2	2	0	1	0.0000	absent
A0A384WWT1	2	0	1	0.0000	absent
A0A3G4ZSK2	2	0	1	0.0000	absent
A0A3G4ZXW4	2	0	1	0.0000	absent
A0A482F4D1	2	1	0	1.0000	visible
A0A4Y5UXU2	2	0	1	0.0000	absent
A0A516LNX4	2	1	0	1.0000	visible
A0A5C0PVM1	2	0	1	0.0000	absent
A0A5H2WYZ6	2	1	0	1.0000	visible
A0A5J6TVW1	2	1	0	1.0000	visible
A0A5K0UA04	2	1	0	1.0000	visible
A0A5Q2W5J0	2	0	1	0.0000	absent
A0A5S9HXY7	2	1	0	1.0000	visible
A0A6B7ZF63	2	0	1	0.0000	absent
A0A6G8MY89	2	0	1	0.0000	absent
A0A6J5KGF0	2	0	1	0.0000	absent
A0A6J5L7S0	2	1	0	1.0000	visible
A0A6J5LH17	2	0	1	0.0000	absent
A0A6J5MWB5	2	1	0	1.0000	visible
A0A6J5PIX6	2	1	0	1.0000	visible
A0A6J7X3X5	2	0	1	0.0000	absent
A0A6J7XAR9	2	1	0	1.0000	visible
A0A6S4PD04	2	0	1	0.0000	absent
A0A6S4PG60	2	1	0	1.0000	visible
A0A7G7S0G2	2	0	1	0.0000	absent
A0A7S5RBT3	2	0	1	0.0000	absent
A0A7S5VJ45	2	0	1	0.0000	absent
A0A811A9Y5	2	1	0	1.0000	visible
A0A894YVT4	2	0	1	0.0000	absent
A0A8A1VF65	2	0	1	0.0000	absent
A0A8J9R3F2	2	1	0	1.0000	visible
A0A8S5Q8R1	2	0	1	0.0000	absent
A0A8S5SQS6	2	0	1	0.0000	absent
A0A8S5UM23	2	0	1	0.0000	absent
A0A8S5UZI2	2	0	1	0.0000	absent
A0A9E7TEM4	2	1	0	1.0000	visible
A2PZW9	2	1	0	1.0000	visible
A3QMI3	2	0	1	0.0000	absent
A7ITT2	2	0	1	0.0000	absent
B3VM64	2	0	1	0.0000	absent
F8WPT3	2	1	0	1.0000	visible
G4YAB4	2	0	1	0.0000	absent
G8DG05	2	0	1	0.0000	absent
G8DGQ1	2	0	1	0.0000	absent
H2ED42	2	1	0	1.0000	visible
H7BW97	2	0	1	0.0000	absent
K4IBL1	2	0	1	0.0000	absent
O90834	2	0	1	0.0000	absent
Q19Y27	2	0	1	0.0000	absent
S5VMA1	2	0	1	0.0000	absent
X5L4P3	2	0	1	0.0000	absent
