base_BGC	label	plot_class	any_saccharide	pure_saccharide	source_row_IDs	source_row_indices	augmentation_suffixes	n_augmentations	UMAP1	UMAP2
BGC0000001	Polyketide	Polyketide	False	False	"[""BGC0000001_-1"", ""BGC0000001_0"", ""BGC0000001_1"", ""BGC0000001_2"", ""BGC0000001_3""]"	[1, 0, 2, 3, 4]	[-1, 0, 1, 2, 3]	5	13.133908271789551	13.203068733215332
BGC0000002	Polyketide	Polyketide	False	False	"[""BGC0000002_-1"", ""BGC0000002_0"", ""BGC0000002_1"", ""BGC0000002_2"", ""BGC0000002_3""]"	[6, 5, 7, 8, 9]	[-1, 0, 1, 2, 3]	5	12.443088531494141	12.572032928466797
BGC0000003	Polyketide	Polyketide	False	False	"[""BGC0000003_-1"", ""BGC0000003_0"", ""BGC0000003_1"", ""BGC0000003_2"", ""BGC0000003_3""]"	[11, 10, 12, 13, 14]	[-1, 0, 1, 2, 3]	5	16.014089584350586	11.128371238708496
BGC0000004	Polyketide	Polyketide	False	False	"[""BGC0000004_-1"", ""BGC0000004_0"", ""BGC0000004_1"", ""BGC0000004_2"", ""BGC0000004_3""]"	[16, 15, 17, 18, 19]	[-1, 0, 1, 2, 3]	5	15.082805633544922	14.617856025695801
BGC0000006	Polyketide	Polyketide	False	False	"[""BGC0000006_-1"", ""BGC0000006_0"", ""BGC0000006_1"", ""BGC0000006_2"", ""BGC0000006_3""]"	[21, 20, 22, 23, 24]	[-1, 0, 1, 2, 3]	5	15.050092697143555	14.494050025939941
BGC0000007	Polyketide	Polyketide	False	False	"[""BGC0000007_-1"", ""BGC0000007_0"", ""BGC0000007_1"", ""BGC0000007_2"", ""BGC0000007_3""]"	[26, 25, 27, 28, 29]	[-1, 0, 1, 2, 3]	5	15.099126815795898	14.558651924133301
BGC0000008	Polyketide	Polyketide	False	False	"[""BGC0000008_-1"", ""BGC0000008_0"", ""BGC0000008_1"", ""BGC0000008_2"", ""BGC0000008_3""]"	[31, 30, 32, 33, 34]	[-1, 0, 1, 2, 3]	5	15.062962532043457	14.569369316101074
BGC0000009	Polyketide	Polyketide	False	False	"[""BGC0000009_-1"", ""BGC0000009_0"", ""BGC0000009_1"", ""BGC0000009_2"", ""BGC0000009_3""]"	[36, 35, 37, 38, 39]	[-1, 0, 1, 2, 3]	5	15.035666465759277	14.654138565063477
BGC0000010	Polyketide	Polyketide	False	False	"[""BGC0000010_-1"", ""BGC0000010_0"", ""BGC0000010_1"", ""BGC0000010_2"", ""BGC0000010_3""]"	[41, 40, 42, 43, 44]	[-1, 0, 1, 2, 3]	5	16.353811264038086	11.727590560913086
BGC0000011	Polyketide	Polyketide	False	False	"[""BGC0000011_-1"", ""BGC0000011_0"", ""BGC0000011_1"", ""BGC0000011_2"", ""BGC0000011_3""]"	[46, 45, 47, 48, 49]	[-1, 0, 1, 2, 3]	5	15.09123706817627	14.883068084716797
BGC0000012	Polyketide	Polyketide	False	False	"[""BGC0000012_-1"", ""BGC0000012_0"", ""BGC0000012_1"", ""BGC0000012_2"", ""BGC0000012_3""]"	[51, 50, 52, 53, 54]	[-1, 0, 1, 2, 3]	5	15.904304504394531	11.84859561920166
BGC0000013	Polyketide	Polyketide	False	False	"[""BGC0000013_-1"", ""BGC0000013_0"", ""BGC0000013_1"", ""BGC0000013_2"", ""BGC0000013_3""]"	[56, 55, 57, 58, 59]	[-1, 0, 1, 2, 3]	5	14.972352027893066	12.483706474304199
BGC0000014	Polyketide	Polyketide	False	False	"[""BGC0000014_-1"", ""BGC0000014_0"", ""BGC0000014_1"", ""BGC0000014_2"", ""BGC0000014_3""]"	[61, 60, 62, 63, 64]	[-1, 0, 1, 2, 3]	5	15.86677074432373	9.7886562347412109
