comparison	k	base_BGC	overlap
A vs B	5	BGC0000001	0
A vs B	5	BGC0000002	0.59999999999999998
A vs B	5	BGC0000003	0.80000000000000004
A vs B	5	BGC0000004	0.59999999999999998
A vs B	5	BGC0000006	0.40000000000000002
A vs B	5	BGC0000007	0.80000000000000004
A vs B	5	BGC0000008	0.80000000000000004
A vs B	5	BGC0000009	0.59999999999999998
A vs B	5	BGC0000010	0
A vs B	5	BGC0000011	0.20000000000000001
A vs B	5	BGC0000012	0.20000000000000001
A vs B	5	BGC0000013	0.40000000000000002
A vs B	5	BGC0000014	0
A vs B	5	BGC0000016	0.20000000000000001
A vs B	5	BGC0000017	0.20000000000000001
A vs B	5	BGC0000018	0.20000000000000001
A vs B	5	BGC0000019	0
A vs B	5	BGC0000020	0
A vs B	5	BGC0000021	0.40000000000000002
A vs B	5	BGC0000022	0.40000000000000002
A vs B	5	BGC0000023	0
A vs B	5	BGC0000024	0.40000000000000002
A vs B	5	BGC0000025	0
A vs B	5	BGC0000026	0.59999999999999998
A vs B	5	BGC0000027	0.40000000000000002
A vs B	5	BGC0000028	0.20000000000000001
A vs B	5	BGC0000029	0.20000000000000001
A vs B	5	BGC0000030	0.40000000000000002
A vs B	5	BGC0000031	0.20000000000000001
A vs B	5	BGC0000032	0
A vs B	5	BGC0000033	0.20000000000000001
A vs B	5	BGC0000034	0
A vs B	5	BGC0000035	0.20000000000000001
A vs B	5	BGC0000036	0.40000000000000002
A vs B	5	BGC0000037	0
A vs B	5	BGC0000038	0
A vs B	5	BGC0000039	0.59999999999999998
A vs B	5	BGC0000040	0
A vs B	5	BGC0000041	0
A vs B	5	BGC0000042	0.20000000000000001
A vs B	5	BGC0000043	0
A vs B	5	BGC0000044	0.40000000000000002
A vs B	5	BGC0000045	0.59999999999999998
A vs B	5	BGC0000046	0.20000000000000001
A vs B	5	BGC0000047	0.20000000000000001
A vs B	5	BGC0000048	0.20000000000000001
A vs B	5	BGC0000050	0
A vs B	5	BGC0000051	0
A vs B	5	BGC0000052	0.59999999999999998
A vs B	5	BGC0000053	0.40000000000000002
A vs B	5	BGC0000054	0
A vs B	5	BGC0000055	0.59999999999999998
A vs B	5	BGC0000056	0.20000000000000001
A vs B	5	BGC0000057	0
A vs B	5	BGC0000058	0
A vs B	5	BGC0000059	0
A vs B	5	BGC0000060	0
A vs B	5	BGC0000062	0.40000000000000002
A vs B	5	BGC0000063	0.40000000000000002
A vs B	5	BGC0000064	0
A vs B	5	BGC0000065	0
A vs B	5	BGC0000066	0.40000000000000002
A vs B	5	BGC0000067	0.20000000000000001
A vs B	5	BGC0000068	0
A vs B	5	BGC0000069	0
A vs B	5	BGC0000070	0.59999999999999998
A vs B	5	BGC0000072	0
A vs B	5	BGC0000073	0
A vs B	5	BGC0000074	0.20000000000000001
A vs B	5	BGC0000075	0
A vs B	5	BGC0000076	0.40000000000000002
A vs B	5	BGC0000077	0.59999999999999998
A vs B	5	BGC0000078	0.20000000000000001
A vs B	5	BGC0000079	0.20000000000000001
A vs B	5	BGC0000080	0.20000000000000001
A vs B	5	BGC0000081	0
A vs B	5	BGC0000082	0.20000000000000001
A vs B	5	BGC0000083	0
A vs B	5	BGC0000084	0
A vs B	5	BGC0000085	0.20000000000000001
A vs B	5	BGC0000086	0
A vs B	5	BGC0000087	0
A vs B	5	BGC0000088	0
A vs B	5	BGC0000090	0
A vs B	5	BGC0000091	0.20000000000000001
A vs B	5	BGC0000092	0
A vs B	5	BGC0000093	0.40000000000000002
A vs B	5	BGC0000094	0
A vs B	5	BGC0000096	0
A vs B	5	BGC0000097	0
A vs B	5	BGC0000098	0
A vs B	5	BGC0000099	0.59999999999999998
A vs B	5	BGC0000100	0
A vs B	5	BGC0000102	0.40000000000000002
A vs B	5	BGC0000103	0.20000000000000001
A vs B	5	BGC0000104	0.40000000000000002
A vs B	5	BGC0000105	0
A vs B	5	BGC0000106	0.20000000000000001
A vs B	5	BGC0000107	0.40000000000000002
A vs B	5	BGC0000108	0.40000000000000002
A vs B	5	BGC0000109	0
A vs B	5	BGC0000110	0
A vs B	5	BGC0000111	0
A vs B	5	BGC0000112	0.20000000000000001
A vs B	5	BGC0000113	0
A vs B	5	BGC0000114	0
A vs B	5	BGC0000115	0
A vs B	5	BGC0000116	0
A vs B	5	BGC0000117	0
A vs B	5	BGC0000118	0
A vs B	5	BGC0000119	0.40000000000000002
A vs B	5	BGC0000120	0.40000000000000002
A vs B	5	BGC0000121	0.40000000000000002
A vs B	5	BGC0000122	0
A vs B	5	BGC0000123	0
A vs B	5	BGC0000124	0.20000000000000001
A vs B	5	BGC0000125	0.40000000000000002
A vs B	5	BGC0000126	0.20000000000000001
A vs B	5	BGC0000127	0.20000000000000001
A vs B	5	BGC0000128	0.40000000000000002
A vs B	5	BGC0000129	0
A vs B	5	BGC0000130	0
A vs B	5	BGC0000131	0.20000000000000001
A vs B	5	BGC0000132	0.20000000000000001
A vs B	5	BGC0000133	0.40000000000000002
A vs B	5	BGC0000134	0.59999999999999998
A vs B	5	BGC0000135	0.20000000000000001
A vs B	5	BGC0000136	0.40000000000000002
A vs B	5	BGC0000137	0.20000000000000001
A vs B	5	BGC0000138	0.40000000000000002
A vs B	5	BGC0000140	0
A vs B	5	BGC0000141	0.40000000000000002
A vs B	5	BGC0000142	0
A vs B	5	BGC0000143	0
A vs B	5	BGC0000144	0
A vs B	5	BGC0000145	0
A vs B	5	BGC0000146	0
A vs B	5	BGC0000147	0.20000000000000001
A vs B	5	BGC0000148	0.20000000000000001
A vs B	5	BGC0000149	0
A vs B	5	BGC0000150	0
A vs B	5	BGC0000151	0.20000000000000001
A vs B	5	BGC0000152	0.20000000000000001
A vs B	5	BGC0000153	0
A vs B	5	BGC0000154	0.59999999999999998
A vs B	5	BGC0000156	0.40000000000000002
A vs B	5	BGC0000157	0
A vs B	5	BGC0000158	0.59999999999999998
A vs B	5	BGC0000159	0.20000000000000001
A vs B	5	BGC0000160	0.20000000000000001
A vs B	5	BGC0000161	0.20000000000000001
A vs B	5	BGC0000162	0
A vs B	5	BGC0000163	0
A vs B	5	BGC0000164	0.40000000000000002
A vs B	5	BGC0000165	0.40000000000000002
